name,value,year,lastValue,rank,image,largeDate
Android,0.000,200901,0.000,9,null,
Android,0.001,200901.1,0.000,0,null,200901.1
Android,0.002,200901.2,0.001,0,null,200901.2
Android,0.003,200901.3,0.002,0,null,200901.3
Android,0.004,200901.4,0.003,0,null,200901.4
Android,0.005,200901.5,0.004,0,null,200901.5
Android,0.006,200901.6,0.005,0,null,200901.6
Android,0.007,200901.7,0.006,0,null,200901.7
Android,0.008,200901.8,0.007,0,null,200901.8
Android,0.009,200901.9,0.008,0,null,200901.9
Android,0.010,200902,0.009,9,null,200902
Android,0.011,200902.1,0.010,0,null,200902.1
Android,0.012,200902.2,0.011,0,null,200902.2
Android,0.013,200902.3,0.012,0,null,200902.3
Android,0.014,200902.4,0.013,0,null,200902.4
Android,0.015,200902.5,0.014,0,null,200902.5
Android,0.016,200902.6,0.015,0,null,200902.6
Android,0.017,200902.7,0.016,0,null,200902.7
Android,0.018,200902.8,0.017,0,null,200902.8
Android,0.019,200902.9,0.018,0,null,200902.9
Android,0.020,200903,0.019,8,null,200903
Android,0.020,200903.1,0.020,0,null,200903
Android,0.020,200903.2,0.020,0,null,200903
Android,0.020,200903.3,0.020,0,null,200903
Android,0.020,200903.4,0.020,0,null,200903
Android,0.020,200903.5,0.020,0,null,200903
Android,0.020,200903.6,0.020,0,null,200903
Android,0.020,200903.7,0.020,0,null,200903
Android,0.020,200903.8,0.020,0,null,200903
Android,0.020,200903.9,0.020,0,null,200903
Android,0.020,200904,0.020,8,null,200903
Android,0.020,200904.1,0.020,0,null,200903
Android,0.020,200904.2,0.020,0,null,200903
Android,0.020,200904.3,0.020,0,null,200903
Android,0.020,200904.4,0.020,0,null,200903
Android,0.020,200904.5,0.020,0,null,200903
Android,0.020,200904.6,0.020,0,null,200903
Android,0.020,200904.7,0.020,0,null,200903
Android,0.020,200904.8,0.020,0,null,200903
Android,0.020,200904.9,0.020,0,null,200903
Android,0.020,200905,0.020,8,null,200903
Android,0.018,200905.1,0.020,0,null,200903
Android,0.016,200905.2,0.018,0,null,200903
Android,0.014,200905.3,0.016,0,null,200903
Android,0.012,200905.4,0.014,0,null,200903
Android,0.010,200905.5,0.012,0,null,200903
Android,0.008,200905.6,0.010,0,null,200903
Android,0.006,200905.7,0.008,0,null,200903
Android,0.004,200905.8,0.006,0,null,200903
Android,0.002,200905.9,0.004,0,null,200903
Android,0.000,200906,0.002,9,null,200903
Android,0.002,200906.1,0.000,0,null,200903
Android,0.004,200906.2,0.002,0,null,200903
Android,0.006,200906.3,0.004,0,null,200903
Android,0.008,200906.4,0.006,0,null,200903
Android,0.010,200906.5,0.008,0,null,200903
Android,0.012,200906.6,0.010,0,null,200903
Android,0.014,200906.7,0.012,0,null,200903
Android,0.016,200906.8,0.014,0,null,200903
Android,0.018,200906.9,0.016,0,null,200903
Android,0.020,200907,0.018,9,null,200903
Android,0.021,200907.1,0.020,0,null,200907.1
Android,0.022,200907.2,0.021,0,null,200907.2
Android,0.023,200907.3,0.022,0,null,200907.3
Android,0.024,200907.4,0.023,0,null,200907.4
Android,0.025,200907.5,0.024,0,null,200907.5
Android,0.026,200907.6,0.025,0,null,200907.6
Android,0.027,200907.7,0.026,0,null,200907.7
Android,0.028,200907.8,0.027,0,null,200907.8
Android,0.029,200907.9,0.028,0,null,200907.9
Android,0.030,200908,0.029,9,null,200908
Android,0.030,200908.1,0.030,0,null,200908
Android,0.030,200908.2,0.030,0,null,200908
Android,0.030,200908.3,0.030,0,null,200908
Android,0.030,200908.4,0.030,0,null,200908
Android,0.030,200908.5,0.030,0,null,200908
Android,0.030,200908.6,0.030,0,null,200908
Android,0.030,200908.7,0.030,0,null,200908
Android,0.030,200908.8,0.030,0,null,200908
Android,0.030,200908.9,0.030,0,null,200908
Android,0.030,200909,0.030,9,null,200908
Android,0.030,200909.1,0.030,0,null,200908
Android,0.030,200909.2,0.030,0,null,200908
Android,0.030,200909.3,0.030,0,null,200908
Android,0.030,200909.4,0.030,0,null,200908
Android,0.030,200909.5,0.030,0,null,200908
Android,0.030,200909.6,0.030,0,null,200908
Android,0.030,200909.7,0.030,0,null,200908
Android,0.030,200909.8,0.030,0,null,200908
Android,0.030,200909.9,0.030,0,null,200908
Android,0.030,200910,0.030,9,null,200908
Android,0.031,200910.1,0.030,0,null,200910.1
Android,0.032,200910.2,0.031,0,null,200910.2
Android,0.033,200910.3,0.032,0,null,200910.3
Android,0.034,200910.4,0.033,0,null,200910.4
Android,0.035,200910.5,0.034,0,null,200910.5
Android,0.036,200910.6,0.035,0,null,200910.6
Android,0.037,200910.7,0.036,0,null,200910.7
Android,0.038,200910.8,0.037,0,null,200910.8
Android,0.039,200910.9,0.038,0,null,200910.9
Android,0.040,200911,0.039,9,null,200911
Android,0.041,200911.1,0.040,0,null,200911.1
Android,0.042,200911.2,0.041,0,null,200911.2
Android,0.043,200911.3,0.042,0,null,200911.3
Android,0.044,200911.4,0.043,0,null,200911.4
Android,0.045,200911.5,0.044,0,null,200911.5
Android,0.046,200911.6,0.045,0,null,200911.6
Android,0.047,200911.7,0.046,0,null,200911.7
Android,0.048,200911.8,0.047,0,null,200911.8
Android,0.049,200911.9,0.048,0,null,200911.9
Android,0.050,200912,0.049,9,null,200912
Android,0.052,200912.1,0.050,0,null,200912.1
Android,0.054,200912.2,0.052,0,null,200912.2
Android,0.056,200912.3,0.054,0,null,200912.3
Android,0.058,200912.4,0.056,0,null,200912.4
Android,0.060,200912.5,0.058,0,null,200912.5
Android,0.062,200912.6,0.060,0,null,200912.6
Android,0.064,200912.7,0.062,0,null,200912.7
Android,0.066,200912.8,0.064,0,null,200912.8
Android,0.068,200912.9,0.066,0,null,200912.9
Android,0.070,201001,0.068,9,null,201001
Android,0.072,201001.1,0.070,0,null,201001.1
Android,0.074,201001.2,0.072,0,null,201001.2
Android,0.076,201001.3,0.074,0,null,201001.3
Android,0.078,201001.4,0.076,0,null,201001.4
Android,0.080,201001.5,0.078,0,null,201001.5
Android,0.082,201001.6,0.080,0,null,201001.6
Android,0.084,201001.7,0.082,0,null,201001.7
Android,0.086,201001.8,0.084,0,null,201001.8
Android,0.088,201001.9,0.086,0,null,201001.9
Android,0.090,201002,0.088,9,null,201002
Android,0.093,201002.1,0.090,0,null,201002.1
Android,0.096,201002.2,0.093,0,null,201002.2
Android,0.099,201002.3,0.096,0,null,201002.3
Android,0.102,201002.4,0.099,0,null,201002.4
Android,0.105,201002.5,0.102,0,null,201002.5
Android,0.108,201002.6,0.105,0,null,201002.6
Android,0.111,201002.7,0.108,0,null,201002.7
Android,0.114,201002.8,0.111,0,null,201002.8
Android,0.117,201002.9,0.114,0,null,201002.9
Android,0.120,201003,0.117,9,null,201003
Android,0.120,201003.1,0.120,0,null,201003
Android,0.120,201003.2,0.120,0,null,201003
Android,0.120,201003.3,0.120,0,null,201003
Android,0.120,201003.4,0.120,0,null,201003
Android,0.120,201003.5,0.120,0,null,201003
Android,0.120,201003.6,0.120,0,null,201003
Android,0.120,201003.7,0.120,0,null,201003
Android,0.120,201003.8,0.120,0,null,201003
Android,0.120,201003.9,0.120,0,null,201003
Android,0.120,201004,0.120,9,null,201003
Android,0.117,201004.1,0.120,0,null,201003
Android,0.114,201004.2,0.117,0,null,201003
Android,0.111,201004.3,0.114,0,null,201003
Android,0.108,201004.4,0.111,0,null,201003
Android,0.105,201004.5,0.108,0,null,201003
Android,0.102,201004.6,0.105,0,null,201003
Android,0.099,201004.7,0.102,0,null,201003
Android,0.096,201004.8,0.099,0,null,201003
Android,0.093,201004.9,0.096,0,null,201003
Android,0.090,201005,0.093,9,null,201003
Android,0.091,201005.1,0.090,0,null,201003
Android,0.092,201005.2,0.091,0,null,201003
Android,0.093,201005.3,0.092,0,null,201003
Android,0.094,201005.4,0.093,0,null,201003
Android,0.095,201005.5,0.094,0,null,201003
