name,value,year,lastValue,rank,image
Kareem Abdul-Jabbar,0, 1949.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1950.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1951.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1952.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1953.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1954.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1955.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1956.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1957.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1958.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1959.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1960.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1961.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1962.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1963.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1964.00,0,891,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1965.00,0,791,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1966.00,0,791,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1967.00,0,791,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,0, 1968.00,0,791,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,283, 1969.00,0,346,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,547, 1970.00,283,264,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,782, 1971.00,547,221,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,990, 1972.00,782,188,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,1228, 1973.00,990,161,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,1433, 1974.00,1228,131,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,1725, 1975.00,1433,107,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,1987, 1976.00,1725,91,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2169, 1977.00,1987,73,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2399, 1978.00,2169,55,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2615, 1979.00,2399,35,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2859, 1980.00,2615,17,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3083, 1981.00,2859,12,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3303, 1982.00,3083,8,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3514, 1983.00,3303,4,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3752, 1984.00,3514,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4000, 1985.00,3752,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4245, 1986.00,4000,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4461, 1987.00,4245,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1988.00,4461,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1989.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1990.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1991.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1992.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1993.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1994.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1995.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1996.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1997.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1998.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 1999.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2000.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2001.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2002.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2003.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2004.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2005.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2006.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2007.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2008.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2009.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2010.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2011.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2012.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2013.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2014.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2015.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2016.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2017.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,4657, 2018.00,4657,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
