name,value,year,lastValue,rank,image,largeDate
Brett Favre ,226.000,2004,209.000,14,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004
Brett Favre ,228.900,2004.1,226.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.1
Brett Favre ,231.800,2004.2,228.900,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.2
Brett Favre ,234.700,2004.3,231.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.3
Brett Favre ,237.600,2004.4,234.700,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.4
Brett Favre ,240.500,2004.5,237.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.5
Brett Favre ,243.400,2004.6,240.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.6
Brett Favre ,246.300,2004.7,243.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.7
Brett Favre ,249.200,2004.8,246.300,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.8
Brett Favre ,252.100,2004.9,249.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.9
Brett Favre ,255.000,2005,252.100,6,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005
Brett Favre ,256.800,2005.1,255.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.1
Brett Favre ,258.600,2005.2,256.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.2
Brett Favre ,260.400,2005.3,258.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.3
Brett Favre ,262.200,2005.4,260.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.4
Brett Favre ,264.000,2005.5,262.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.5
Brett Favre ,265.800,2005.6,264.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.6
Brett Favre ,267.600,2005.7,265.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.7
Brett Favre ,269.400,2005.8,267.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.8
Brett Favre ,271.200,2005.9,269.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.9
Brett Favre ,273.000,2006,271.200,2,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006
Brett Favre ,274.500,2006.1,273.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.1
Brett Favre ,276.000,2006.2,274.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.2
Brett Favre ,277.500,2006.3,276.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.3
Brett Favre ,279.000,2006.4,277.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.4
Brett Favre ,280.500,2006.5,279.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.5
Brett Favre ,282.000,2006.6,280.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.6
Brett Favre ,283.500,2006.7,282.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.7
Brett Favre ,285.000,2006.8,283.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.8
Brett Favre ,286.500,2006.9,285.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2006.9
Brett Favre ,288.000,2007,286.500,1,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007
Brett Favre ,290.200,2007.1,288.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.1
Brett Favre ,292.400,2007.2,290.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.2
Brett Favre ,294.600,2007.3,292.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.3
Brett Favre ,296.800,2007.4,294.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.4
Brett Favre ,299.000,2007.5,296.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.5
Brett Favre ,301.200,2007.6,299.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.6
Brett Favre ,303.400,2007.7,301.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.7
Brett Favre ,305.600,2007.8,303.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.8
Brett Favre ,307.800,2007.9,305.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2007.9
