name,value,year,lastValue,rank,image,largeDate
Brett Favre ,348.000,2002,322.000,19,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002
Brett Favre ,349.900,2002.1,348.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.1
Brett Favre ,351.800,2002.2,349.900,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.2
Brett Favre ,353.700,2002.3,351.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.3
Brett Favre ,355.600,2002.4,353.700,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.4
Brett Favre ,357.500,2002.5,355.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.5
Brett Favre ,359.400,2002.6,357.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.6
Brett Favre ,361.300,2002.7,359.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.7
Brett Favre ,363.200,2002.8,361.300,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.8
Brett Favre ,365.100,2002.9,363.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2002.9
Brett Favre ,367.000,2003,365.100,11,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003
Brett Favre ,368.200,2003.1,367.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.1
Brett Favre ,369.400,2003.2,368.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.2
Brett Favre ,370.600,2003.3,369.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.3
Brett Favre ,371.800,2003.4,370.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.4
Brett Favre ,373.000,2003.5,371.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.5
Brett Favre ,374.200,2003.6,373.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.6
Brett Favre ,375.400,2003.7,374.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.7
Brett Favre ,376.600,2003.8,375.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.8
Brett Favre ,377.800,2003.9,376.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2003.9
Brett Favre ,379.000,2004,377.800,12,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004
Brett Favre ,381.400,2004.1,379.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.1
Brett Favre ,383.800,2004.2,381.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.2
Brett Favre ,386.200,2004.3,383.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.3
Brett Favre ,388.600,2004.4,386.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.4
Brett Favre ,391.000,2004.5,388.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.5
Brett Favre ,393.400,2004.6,391.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.6
Brett Favre ,395.800,2004.7,393.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.7
Brett Favre ,398.200,2004.8,395.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.8
Brett Favre ,400.600,2004.9,398.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2004.9
Brett Favre ,403.000,2005,400.600,8,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005
Brett Favre ,405.100,2005.1,403.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.1
Brett Favre ,407.200,2005.2,405.100,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.2
Brett Favre ,409.300,2005.3,407.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.3
Brett Favre ,411.400,2005.4,409.300,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.4
Brett Favre ,413.500,2005.5,411.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.5
Brett Favre ,415.600,2005.6,413.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.6
Brett Favre ,417.700,2005.7,415.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/FavrBr00.jpg,2005.7
