name,value,year,lastValue,rank,image,largeDate
Pewdiepie,28126920.000,201407,28126920.000,0,Pewdiepie,201407
Pewdiepie,28235931.000,201407.1,28126920.000,0,Pewdiepie,201407.1
Pewdiepie,28344942.000,201407.2,28235931.000,0,Pewdiepie,201407.2
Pewdiepie,28453953.000,201407.3,28344942.000,0,Pewdiepie,201407.3
Pewdiepie,28562964.000,201407.4,28453953.000,0,Pewdiepie,201407.4
Pewdiepie,28671975.000,201407.5,28562964.000,0,Pewdiepie,201407.5
Pewdiepie,28780986.000,201407.6,28671975.000,0,Pewdiepie,201407.6
Pewdiepie,28889997.000,201407.7,28780986.000,0,Pewdiepie,201407.7
Pewdiepie,28999008.000,201407.8,28889997.000,0,Pewdiepie,201407.8
Pewdiepie,29108019.000,201407.9,28999008.000,0,Pewdiepie,201407.9
Pewdiepie,29217030.000,201408,29108019.000,0,Pewdiepie,201408
Pewdiepie,29328190.200,201408.1,29217030.000,0,Pewdiepie,201408.1
Pewdiepie,29439350.400,201408.2,29328190.200,0,Pewdiepie,201408.2
Pewdiepie,29550510.600,201408.3,29439350.400,0,Pewdiepie,201408.3
Pewdiepie,29661670.800,201408.4,29550510.600,0,Pewdiepie,201408.4
Pewdiepie,29772831.000,201408.5,29661670.800,0,Pewdiepie,201408.5
Pewdiepie,29883991.200,201408.6,29772831.000,0,Pewdiepie,201408.6
Pewdiepie,29995151.400,201408.7,29883991.200,0,Pewdiepie,201408.7
Pewdiepie,30106311.600,201408.8,29995151.400,0,Pewdiepie,201408.8
Pewdiepie,30217471.800,201408.9,30106311.600,0,Pewdiepie,201408.9
Pewdiepie,30328632.000,201409,30217471.800,0,Pewdiepie,201409
Pewdiepie,30407990.200,201409.1,30328632.000,0,Pewdiepie,201409.1
Pewdiepie,30487348.400,201409.2,30407990.200,0,Pewdiepie,201409.2
Pewdiepie,30566706.600,201409.3,30487348.400,0,Pewdiepie,201409.3
Pewdiepie,30646064.800,201409.4,30566706.600,0,Pewdiepie,201409.4
Pewdiepie,30725423.000,201409.5,30646064.800,0,Pewdiepie,201409.5
Pewdiepie,30804781.200,201409.6,30725423.000,0,Pewdiepie,201409.6
Pewdiepie,30884139.400,201409.7,30804781.200,0,Pewdiepie,201409.7
Pewdiepie,30963497.600,201409.8,30884139.400,0,Pewdiepie,201409.8
Pewdiepie,31042855.800,201409.9,30963497.600,0,Pewdiepie,201409.9
Pewdiepie,31122214.000,201410,31042855.800,0,Pewdiepie,201410
Pewdiepie,31198210.400,201410.1,31122214.000,0,Pewdiepie,201410.1
Pewdiepie,31274206.800,201410.2,31198210.400,0,Pewdiepie,201410.2
Pewdiepie,31350203.200,201410.3,31274206.800,0,Pewdiepie,201410.3
Pewdiepie,31426199.600,201410.4,31350203.200,0,Pewdiepie,201410.4
Pewdiepie,31502196.000,201410.5,31426199.600,0,Pewdiepie,201410.5
Pewdiepie,31578192.400,201410.6,31502196.000,0,Pewdiepie,201410.6
Pewdiepie,31654188.800,201410.7,31578192.400,0,Pewdiepie,201410.7
Pewdiepie,31730185.200,201410.8,31654188.800,0,Pewdiepie,201410.8
Pewdiepie,31806181.600,201410.9,31730185.200,0,Pewdiepie,201410.9
Pewdiepie,31882178.000,201411,31806181.600,0,Pewdiepie,201411
Pewdiepie,31949851.400,201411.1,31882178.000,0,Pewdiepie,201411.1
Pewdiepie,32017524.800,201411.2,31949851.400,0,Pewdiepie,201411.2
Pewdiepie,32085198.200,201411.3,32017524.800,0,Pewdiepie,201411.3
Pewdiepie,32152871.600,201411.4,32085198.200,0,Pewdiepie,201411.4
Pewdiepie,32220545.000,201411.5,32152871.600,0,Pewdiepie,201411.5
Pewdiepie,32288218.400,201411.6,32220545.000,0,Pewdiepie,201411.6
Pewdiepie,32355891.800,201411.7,32288218.400,0,Pewdiepie,201411.7
Pewdiepie,32423565.200,201411.8,32355891.800,0,Pewdiepie,201411.8
Pewdiepie,32491238.600,201411.9,32423565.200,0,Pewdiepie,201411.9
Pewdiepie,32558912.000,201412,32491238.600,0,Pewdiepie,201412
