name,value,year,lastValue,rank,image,largeDate
Jeff Bezos,18.400, 2012.00,18.100,26,Jeff Bezos, 2012.00
Jeff Bezos,19.080, 2012.001,18.400,0,Jeff Bezos, 2012.001
Jeff Bezos,19.760, 2012.002,19.080,0,Jeff Bezos, 2012.002
Jeff Bezos,20.440, 2012.003,19.760,0,Jeff Bezos, 2012.003
Jeff Bezos,21.120, 2012.004,20.440,0,Jeff Bezos, 2012.004
Jeff Bezos,21.800, 2012.005,21.120,0,Jeff Bezos, 2012.005
Jeff Bezos,22.480, 2012.006,21.800,0,Jeff Bezos, 2012.006
Jeff Bezos,23.160, 2012.007,22.480,0,Jeff Bezos, 2012.007
Jeff Bezos,23.840, 2012.008,23.160,0,Jeff Bezos, 2012.008
Jeff Bezos,24.520, 2012.009,23.840,0,Jeff Bezos, 2012.009
Jeff Bezos,25.200, 2013.00,24.520,19,Jeff Bezos, 2013.00
Jeff Bezos,25.880, 2013.001,25.200,0,Jeff Bezos, 2013.001
Jeff Bezos,26.560, 2013.002,25.880,0,Jeff Bezos, 2013.002
Jeff Bezos,27.240, 2013.003,26.560,0,Jeff Bezos, 2013.003
Jeff Bezos,27.920, 2013.004,27.240,0,Jeff Bezos, 2013.004
Jeff Bezos,28.600, 2013.005,27.920,0,Jeff Bezos, 2013.005
Jeff Bezos,29.280, 2013.006,28.600,0,Jeff Bezos, 2013.006
Jeff Bezos,29.960, 2013.007,29.280,0,Jeff Bezos, 2013.007
Jeff Bezos,30.640, 2013.008,29.960,0,Jeff Bezos, 2013.008
Jeff Bezos,31.320, 2013.009,30.640,0,Jeff Bezos, 2013.009
Jeff Bezos,32.000, 2014.00,31.320,18,Jeff Bezos, 2014.00
Jeff Bezos,32.280, 2014.001,32.000,0,Jeff Bezos, 2014.001
Jeff Bezos,32.560, 2014.002,32.280,0,Jeff Bezos, 2014.002
Jeff Bezos,32.840, 2014.003,32.560,0,Jeff Bezos, 2014.003
Jeff Bezos,33.120, 2014.004,32.840,0,Jeff Bezos, 2014.004
Jeff Bezos,33.400, 2014.005,33.120,0,Jeff Bezos, 2014.005
Jeff Bezos,33.680, 2014.006,33.400,0,Jeff Bezos, 2014.006
Jeff Bezos,33.960, 2014.007,33.680,0,Jeff Bezos, 2014.007
Jeff Bezos,34.240, 2014.008,33.960,0,Jeff Bezos, 2014.008
Jeff Bezos,34.520, 2014.009,34.240,0,Jeff Bezos, 2014.009
Jeff Bezos,34.800, 2015.00,34.520,15,Jeff Bezos, 2015.00
Jeff Bezos,35.840, 2015.001,34.800,0,Jeff Bezos, 2015.001
Jeff Bezos,36.880, 2015.002,35.840,0,Jeff Bezos, 2015.002
Jeff Bezos,37.920, 2015.003,36.880,0,Jeff Bezos, 2015.003
Jeff Bezos,38.960, 2015.004,37.920,0,Jeff Bezos, 2015.004
