name,value,year,lastValue,rank,image,largeDate
Jeff Bezos,18.400,2012,18.100,26,Jeff Bezos,2012
Jeff Bezos,19.080,2012.01,18.400,0,Jeff Bezos,2012.01
Jeff Bezos,19.760,2012.02,19.080,0,Jeff Bezos,2012.02
Jeff Bezos,20.440,2012.03,19.760,0,Jeff Bezos,2012.03
Jeff Bezos,21.120,2012.04,20.440,0,Jeff Bezos,2012.04
Jeff Bezos,21.800,2012.05,21.120,0,Jeff Bezos,2012.05
Jeff Bezos,22.480,2012.06,21.800,0,Jeff Bezos,2012.06
Jeff Bezos,23.160,2012.07,22.480,0,Jeff Bezos,2012.07
Jeff Bezos,23.840,2012.08,23.160,0,Jeff Bezos,2012.08
Jeff Bezos,24.520,2012.09,23.840,0,Jeff Bezos,2012.09
Jeff Bezos,25.200,2012.10,24.520,0,Jeff Bezos,2012.10
Jeff Bezos,25.880,2012.11,25.200,0,Jeff Bezos,2012.11
Jeff Bezos,26.560,2012.12,25.880,0,Jeff Bezos,2012.12
Jeff Bezos,27.240,2012.13,26.560,0,Jeff Bezos,2012.13
Jeff Bezos,27.920,2012.14,27.240,0,Jeff Bezos,2012.14
Jeff Bezos,28.600,2012.15,27.920,0,Jeff Bezos,2012.15
Jeff Bezos,29.280,2012.16,28.600,0,Jeff Bezos,2012.16
Jeff Bezos,29.960,2012.17,29.280,0,Jeff Bezos,2012.17
Jeff Bezos,30.640,2012.18,29.960,0,Jeff Bezos,2012.18
Jeff Bezos,31.320,2012.19,30.640,0,Jeff Bezos,2012.19
Jeff Bezos,32.000,2012.20,31.320,0,Jeff Bezos,2012.20
Jeff Bezos,32.680,2012.21,32.000,0,Jeff Bezos,2012.21
Jeff Bezos,33.360,2012.22,32.680,0,Jeff Bezos,2012.22
Jeff Bezos,34.040,2012.23,33.360,0,Jeff Bezos,2012.23
Jeff Bezos,34.720,2012.24,34.040,0,Jeff Bezos,2012.24
Jeff Bezos,35.400,2012.25,34.720,0,Jeff Bezos,2012.25
Jeff Bezos,36.080,2012.26,35.400,0,Jeff Bezos,2012.26
Jeff Bezos,36.760,2012.27,36.080,0,Jeff Bezos,2012.27
Jeff Bezos,37.440,2012.28,36.760,0,Jeff Bezos,2012.28
Jeff Bezos,38.120,2012.29,37.440,0,Jeff Bezos,2012.29
Jeff Bezos,38.800,2012.30,38.120,0,Jeff Bezos,2012.30
Jeff Bezos,39.480,2012.31,38.800,0,Jeff Bezos,2012.31
Jeff Bezos,40.160,2012.32,39.480,0,Jeff Bezos,2012.32
Jeff Bezos,40.840,2012.33,40.160,0,Jeff Bezos,2012.33
Jeff Bezos,41.520,2012.34,40.840,0,Jeff Bezos,2012.34
Jeff Bezos,42.200,2012.35,41.520,0,Jeff Bezos,2012.35
Jeff Bezos,42.880,2012.36,42.200,0,Jeff Bezos,2012.36
Jeff Bezos,43.560,2012.37,42.880,0,Jeff Bezos,2012.37
Jeff Bezos,44.240,2012.38,43.560,0,Jeff Bezos,2012.38
Jeff Bezos,44.920,2012.39,44.240,0,Jeff Bezos,2012.39
Jeff Bezos,45.600,2012.40,44.920,0,Jeff Bezos,2012.40
Jeff Bezos,46.280,2012.41,45.600,0,Jeff Bezos,2012.41
Jeff Bezos,46.960,2012.42,46.280,0,Jeff Bezos,2012.42
Jeff Bezos,47.640,2012.43,46.960,0,Jeff Bezos,2012.43
Jeff Bezos,48.320,2012.44,47.640,0,Jeff Bezos,2012.44
Jeff Bezos,49.000,2012.45,48.320,0,Jeff Bezos,2012.45
Jeff Bezos,49.680,2012.46,49.000,0,Jeff Bezos,2012.46
Jeff Bezos,50.360,2012.47,49.680,0,Jeff Bezos,2012.47
Jeff Bezos,51.040,2012.48,50.360,0,Jeff Bezos,2012.48
Jeff Bezos,51.720,2012.49,51.040,0,Jeff Bezos,2012.49
Jeff Bezos,52.400,2012.50,51.720,0,Jeff Bezos,2012.50
Jeff Bezos,53.080,2012.51,52.400,0,Jeff Bezos,2012.51
Jeff Bezos,53.760,2012.52,53.080,0,Jeff Bezos,2012.52
Jeff Bezos,54.440,2012.53,53.760,0,Jeff Bezos,2012.53
Jeff Bezos,55.120,2012.54,54.440,0,Jeff Bezos,2012.54
Jeff Bezos,55.800,2012.55,55.120,0,Jeff Bezos,2012.55
Jeff Bezos,56.480,2012.56,55.800,0,Jeff Bezos,2012.56
Jeff Bezos,57.160,2012.57,56.480,0,Jeff Bezos,2012.57
Jeff Bezos,57.840,2012.58,57.160,0,Jeff Bezos,2012.58
Jeff Bezos,58.520,2012.59,57.840,0,Jeff Bezos,2012.59
Jeff Bezos,59.200,2012.60,58.520,0,Jeff Bezos,2012.60
Jeff Bezos,59.880,2012.61,59.200,0,Jeff Bezos,2012.61
Jeff Bezos,60.560,2012.62,59.880,0,Jeff Bezos,2012.62
Jeff Bezos,61.240,2012.63,60.560,0,Jeff Bezos,2012.63
Jeff Bezos,61.920,2012.64,61.240,0,Jeff Bezos,2012.64
Jeff Bezos,62.600,2012.65,61.920,0,Jeff Bezos,2012.65
Jeff Bezos,63.280,2012.66,62.600,0,Jeff Bezos,2012.66
Jeff Bezos,63.960,2012.67,63.280,0,Jeff Bezos,2012.67
Jeff Bezos,64.640,2012.68,63.960,0,Jeff Bezos,2012.68
Jeff Bezos,65.320,2012.69,64.640,0,Jeff Bezos,2012.69
