name,value,year,lastValue,rank,image,largeDate
Jeff Bezos,18.400,2012,18.100,26,Jeff Bezos,2012
Jeff Bezos,19.080,2012.1,18.400,0,Jeff Bezos,2012.1
Jeff Bezos,19.760,2012.2,19.080,0,Jeff Bezos,2012.2
Jeff Bezos,20.440,2012.3,19.760,0,Jeff Bezos,2012.3
Jeff Bezos,21.120,2012.4,20.440,0,Jeff Bezos,2012.4
Jeff Bezos,21.800,2012.5,21.120,0,Jeff Bezos,2012.5
Jeff Bezos,22.480,2012.6,21.800,0,Jeff Bezos,2012.6
Jeff Bezos,23.160,2012.7,22.480,0,Jeff Bezos,2012.7
Jeff Bezos,23.840,2012.8,23.160,0,Jeff Bezos,2012.8
Jeff Bezos,24.520,2012.9,23.840,0,Jeff Bezos,2012.9
Jeff Bezos,25.200,2013,24.520,19,Jeff Bezos,2013
Jeff Bezos,25.880,2013.1,25.200,0,Jeff Bezos,2013.1
Jeff Bezos,26.560,2013.2,25.880,0,Jeff Bezos,2013.2
Jeff Bezos,27.240,2013.3,26.560,0,Jeff Bezos,2013.3
Jeff Bezos,27.920,2013.4,27.240,0,Jeff Bezos,2013.4
Jeff Bezos,28.600,2013.5,27.920,0,Jeff Bezos,2013.5
Jeff Bezos,29.280,2013.6,28.600,0,Jeff Bezos,2013.6
Jeff Bezos,29.960,2013.7,29.280,0,Jeff Bezos,2013.7
Jeff Bezos,30.640,2013.8,29.960,0,Jeff Bezos,2013.8
Jeff Bezos,31.320,2013.9,30.640,0,Jeff Bezos,2013.9
Jeff Bezos,32.000,2014,31.320,18,Jeff Bezos,2014
Jeff Bezos,32.280,2014.1,32.000,0,Jeff Bezos,2014.1
Jeff Bezos,32.560,2014.2,32.280,0,Jeff Bezos,2014.2
Jeff Bezos,32.840,2014.3,32.560,0,Jeff Bezos,2014.3
Jeff Bezos,33.120,2014.4,32.840,0,Jeff Bezos,2014.4
Jeff Bezos,33.400,2014.5,33.120,0,Jeff Bezos,2014.5
Jeff Bezos,33.680,2014.6,33.400,0,Jeff Bezos,2014.6
Jeff Bezos,33.960,2014.7,33.680,0,Jeff Bezos,2014.7
Jeff Bezos,34.240,2014.8,33.960,0,Jeff Bezos,2014.8
Jeff Bezos,34.520,2014.9,34.240,0,Jeff Bezos,2014.9
Jeff Bezos,34.800,2015,34.520,15,Jeff Bezos,2015
Jeff Bezos,35.840,2015.1,34.800,0,Jeff Bezos,2015.1
Jeff Bezos,36.880,2015.2,35.840,0,Jeff Bezos,2015.2
Jeff Bezos,37.920,2015.3,36.880,0,Jeff Bezos,2015.3
Jeff Bezos,38.960,2015.4,37.920,0,Jeff Bezos,2015.4
Jeff Bezos,40.000,2015.5,38.960,0,Jeff Bezos,2015.5
Jeff Bezos,41.040,2015.6,40.000,0,Jeff Bezos,2015.6
Jeff Bezos,42.080,2015.7,41.040,0,Jeff Bezos,2015.7
Jeff Bezos,43.120,2015.8,42.080,0,Jeff Bezos,2015.8
Jeff Bezos,44.160,2015.9,43.120,0,Jeff Bezos,2015.9
Jeff Bezos,45.200,2016,44.160,5,Jeff Bezos,2016
Jeff Bezos,47.960,2016.1,45.200,0,Jeff Bezos,2016.1
Jeff Bezos,50.720,2016.2,47.960,0,Jeff Bezos,2016.2
Jeff Bezos,53.480,2016.3,50.720,0,Jeff Bezos,2016.3
Jeff Bezos,56.240,2016.4,53.480,0,Jeff Bezos,2016.4
Jeff Bezos,59.000,2016.5,56.240,0,Jeff Bezos,2016.5
Jeff Bezos,61.760,2016.6,59.000,0,Jeff Bezos,2016.6
Jeff Bezos,64.520,2016.7,61.760,0,Jeff Bezos,2016.7
Jeff Bezos,67.280,2016.8,64.520,0,Jeff Bezos,2016.8
Jeff Bezos,70.040,2016.9,67.280,0,Jeff Bezos,2016.9
Jeff Bezos,72.800,2017,70.040,3,Jeff Bezos,2017
Jeff Bezos,76.720,2017.1,72.800,0,Jeff Bezos,2017.1
Jeff Bezos,80.640,2017.2,76.720,0,Jeff Bezos,2017.2
Jeff Bezos,84.560,2017.3,80.640,0,Jeff Bezos,2017.3
Jeff Bezos,88.480,2017.4,84.560,0,Jeff Bezos,2017.4
Jeff Bezos,92.400,2017.5,88.480,0,Jeff Bezos,2017.5
Jeff Bezos,96.320,2017.6,92.400,0,Jeff Bezos,2017.6
Jeff Bezos,100.240,2017.7,96.320,0,Jeff Bezos,2017.7
Jeff Bezos,104.160,2017.8,100.240,0,Jeff Bezos,2017.8
Jeff Bezos,108.080,2017.9,104.160,0,Jeff Bezos,2017.9
Jeff Bezos,112.000,2018,108.080,1,Jeff Bezos,2018
Jeff Bezos,114.300,2018.1,112.000,0,Jeff Bezos,2018.1
Jeff Bezos,116.600,2018.2,114.300,0,Jeff Bezos,2018.2
Jeff Bezos,118.900,2018.3,116.600,0,Jeff Bezos,2018.3
Jeff Bezos,121.200,2018.4,118.900,0,Jeff Bezos,2018.4
Jeff Bezos,123.500,2018.5,121.200,0,Jeff Bezos,2018.5
Jeff Bezos,125.800,2018.6,123.500,0,Jeff Bezos,2018.6
Jeff Bezos,128.100,2018.7,125.800,0,Jeff Bezos,2018.7
Jeff Bezos,130.400,2018.8,128.100,0,Jeff Bezos,2018.8
Jeff Bezos,132.700,2018.9,130.400,0,Jeff Bezos,2018.9
Jeff Bezos,135.000,2019,112.000,1,Jeff Bezos,2019
Bill Gates,18.500,1996,18.500,1,Bill Gates,1996
Bill Gates,20.290,1996.1,18.500,0,Bill Gates,1996.1
Bill Gates,22.080,1996.2,20.290,0,Bill Gates,1996.2
Bill Gates,23.870,1996.3,22.080,0,Bill Gates,1996.3
Bill Gates,25.660,1996.4,23.870,0,Bill Gates,1996.4
Bill Gates,27.450,1996.5,25.660,0,Bill Gates,1996.5
Bill Gates,29.240,1996.6,27.450,0,Bill Gates,1996.6
Bill Gates,31.030,1996.7,29.240,0,Bill Gates,1996.7
Bill Gates,32.820,1996.8,31.030,0,Bill Gates,1996.8
Bill Gates,34.610,1996.9,32.820,0,Bill Gates,1996.9
Bill Gates,36.400,1997,34.610,2,Bill Gates,1997
Bill Gates,37.860,1997.1,36.400,0,Bill Gates,1997.1
Bill Gates,39.320,1997.2,37.860,0,Bill Gates,1997.2
