name,value,year,lastValue,rank,image,largeDate
Bill Gates,0.0, 1996.00,0.0,100,Bill Gates,
Bill Gates,36.4, 1997.00,0.0,1,Bill Gates, 1997.00
Bill Gates,0.0, 1998.00,36.4,100,Bill Gates, 1997.00
Bill Gates,0.0, 1999.00,0.0,109,Bill Gates, 1997.00
Bill Gates,0.0, 2000.00,0.0,113,Bill Gates, 1997.00
Bill Gates,0.0, 2001.00,0.0,118,Bill Gates, 1997.00
Bill Gates,0.0, 2002.00,0.0,111,Bill Gates, 1997.00
Bill Gates,0.0, 2003.00,0.0,110,Bill Gates, 1997.00
Bill Gates,0.0, 2004.00,0.0,108,Bill Gates, 1997.00
Bill Gates,0.0, 2005.00,0.0,116,Bill Gates, 1997.00
Bill Gates,0.0, 2006.00,0.0,116,Bill Gates, 1997.00
Bill Gates,0.0, 2007.00,0.0,120,Bill Gates, 1997.00
Bill Gates,58.0, 2008.00,0.0,2,Bill Gates, 2008.00
Bill Gates,0.0, 2009.00,58.0,104,Bill Gates, 2008.00
Bill Gates,53.0, 2010.00,0.0,1,Bill Gates, 2008.00
Bill Gates,56.0, 2011.00,53.0,1,Bill Gates, 2008.00
Bill Gates,61.0, 2012.00,56.0,1,Bill Gates, 2012.00
Bill Gates,67.0, 2013.00,61.0,1,Bill Gates, 2013.00
Bill Gates,0.0, 2014.00,67.0,100,Bill Gates, 2013.00
Bill Gates,0.0, 2015.00,0.0,106,Bill Gates, 2013.00
Bill Gates,0.0, 2016.00,0.0,113,Bill Gates, 2013.00
Bill Gates,0.0, 2017.00,0.0,112,Bill Gates, 2013.00
Bill Gates,90.0, 2018.00,0.0,1,Bill Gates, 2018.00
Bill Gates,97.7, 2019.00,90.0,1,Bill Gates, 2019.00
Warren Buffett,15.0, 1996.00,15.0,1,Warren Buffett, 1996.00
Warren Buffett,23.2, 1997.00,15.0,3,Warren Buffett, 1997.00
Warren Buffett,33.0, 1998.00,23.2,3,Warren Buffett, 1998.00
Warren Buffett,36.0, 1999.00,33.0,1,Warren Buffett, 1999.00
Warren Buffett,25.6, 2000.00,36.0,3,Warren Buffett, 1999.00
Warren Buffett,0.0, 2001.00,25.6,104,Warren Buffett, 1999.00
Warren Buffett,35.0, 2002.00,0.0,1,Warren Buffett, 1999.00
Warren Buffett,30.5, 2003.00,35.0,1,Warren Buffett, 1999.00
Warren Buffett,42.9, 2004.00,30.5,1,Warren Buffett, 2004.00
Warren Buffett,44.0, 2005.00,42.9,1,Warren Buffett, 2005.00
Warren Buffett,42.0, 2006.00,44.0,1,Warren Buffett, 2005.00
Warren Buffett,52.0, 2007.00,42.0,1,Warren Buffett, 2007.00
Warren Buffett,0.0, 2008.00,52.0,100,Warren Buffett, 2007.00
Warren Buffett,37.0, 2009.00,0.0,1,Warren Buffett, 2007.00
Warren Buffett,47.0, 2010.00,37.0,2,Warren Buffett, 2007.00
Warren Buffett,50.0, 2011.00,47.0,2,Warren Buffett, 2007.00
Warren Buffett,44.0, 2012.00,50.0,2,Warren Buffett, 2007.00
Warren Buffett,53.5, 2013.00,44.0,3,Warren Buffett, 2013.00
Warren Buffett,58.2, 2014.00,53.5,3,Warren Buffett, 2014.00
Warren Buffett,72.7, 2015.00,58.2,2,Warren Buffett, 2015.00
Warren Buffett,60.8, 2016.00,72.7,2,Warren Buffett, 2015.00
Warren Buffett,75.6, 2017.00,60.8,1,Warren Buffett, 2017.00
Warren Buffett,84.0, 2018.00,75.6,2,Warren Buffett, 2018.00
Warren Buffett,82.0, 2019.00,84.0,2,Warren Buffett, 2018.00
Bernard Arnault,0.0, 1996.00,0.0,405,Bernard Arnault,
Bernard Arnault,0.0, 1997.00,0.0,353,Bernard Arnault,
Bernard Arnault,0.0, 1998.00,0.0,315,Bernard Arnault,
Bernard Arnault,0.0, 1999.00,0.0,272,Bernard Arnault,
Bernard Arnault,0.0, 2000.00,0.0,234,Bernard Arnault,
Bernard Arnault,0.0, 2001.00,0.0,188,Bernard Arnault,
Bernard Arnault,0.0, 2002.00,0.0,138,Bernard Arnault,
Bernard Arnault,6.7, 2003.00,0.0,39,Bernard Arnault, 2003.00
Bernard Arnault,12.2, 2004.00,6.7,20,Bernard Arnault, 2004.00
Bernard Arnault,17.0, 2005.00,12.2,16,Bernard Arnault, 2005.00
Bernard Arnault,21.5, 2006.00,17.0,6,Bernard Arnault, 2006.00
Bernard Arnault,26.0, 2007.00,21.5,6,Bernard Arnault, 2007.00
Bernard Arnault,25.5, 2008.00,26.0,12,Bernard Arnault, 2007.00
Bernard Arnault,16.5, 2009.00,25.5,14,Bernard Arnault, 2007.00
Bernard Arnault,27.5, 2010.00,16.5,6,Bernard Arnault, 2010.00
Bernard Arnault,41.0, 2011.00,27.5,3,Bernard Arnault, 2011.00
Bernard Arnault,41.0, 2012.00,41.0,3,Bernard Arnault, 2011.00
Bernard Arnault,29.0, 2013.00,41.0,9,Bernard Arnault, 2011.00
Bernard Arnault,0.0, 2014.00,29.0,101,Bernard Arnault, 2011.00
Bernard Arnault,37.2, 2015.00,0.0,12,Bernard Arnault, 2011.00
Bernard Arnault,34.0, 2016.00,37.2,13,Bernard Arnault, 2011.00
Bernard Arnault,41.5, 2017.00,34.0,10,Bernard Arnault, 2017.00
Bernard Arnault,72.0, 2018.00,41.5,3,Bernard Arnault, 2018.00
Bernard Arnault,81.8, 2019.00,72.0,3,Bernard Arnault, 2019.00
Amancio Ortega,0.0, 1996.00,0.0,387,Amancio Ortega,
Amancio Ortega,0.0, 1997.00,0.0,335,Amancio Ortega,
Amancio Ortega,0.0, 1998.00,0.0,297,Amancio Ortega,
Amancio Ortega,0.0, 1999.00,0.0,254,Amancio Ortega,
Amancio Ortega,0.0, 2000.00,0.0,216,Amancio Ortega,
Amancio Ortega,0.0, 2001.00,0.0,170,Amancio Ortega,
Amancio Ortega,0.0, 2002.00,0.0,120,Amancio Ortega,
Amancio Ortega,10.3, 2003.00,0.0,19,Amancio Ortega, 2003.00
