name,value,year,lastValue,rank,image,largeDate
Jeff Bezos,0.0, 1996.00,0.0,593,Jeff Bezos,
Jeff Bezos,0.0, 1997.00,0.0,543,Jeff Bezos,
Jeff Bezos,0.0, 1998.00,0.0,506,Jeff Bezos,
Jeff Bezos,0.0, 1999.00,0.0,464,Jeff Bezos,
Jeff Bezos,0.0, 2000.00,0.0,427,Jeff Bezos,
Jeff Bezos,0.0, 2001.00,0.0,382,Jeff Bezos,
Jeff Bezos,0.0, 2002.00,0.0,335,Jeff Bezos,
Jeff Bezos,0.0, 2003.00,0.0,252,Jeff Bezos,
Jeff Bezos,0.0, 2004.00,0.0,209,Jeff Bezos,
Jeff Bezos,0.0, 2005.00,0.0,196,Jeff Bezos,
Jeff Bezos,0.0, 2006.00,0.0,181,Jeff Bezos,
Jeff Bezos,0.0, 2007.00,0.0,167,Jeff Bezos,
Jeff Bezos,0.0, 2008.00,0.0,157,Jeff Bezos,
Jeff Bezos,0.0, 2009.00,0.0,145,Jeff Bezos,
Jeff Bezos,0.0, 2010.00,0.0,125,Jeff Bezos,
Jeff Bezos,18.1, 2011.00,0.0,31,Jeff Bezos, 2011.00
Jeff Bezos,18.4, 2012.00,18.1,26,Jeff Bezos, 2012.00
Jeff Bezos,25.2, 2013.00,18.4,19,Jeff Bezos, 2013.00
Jeff Bezos,32.0, 2014.00,25.2,18,Jeff Bezos, 2014.00
Jeff Bezos,34.8, 2015.00,32.0,15,Jeff Bezos, 2015.00
Jeff Bezos,45.2, 2016.00,34.8,5,Jeff Bezos, 2016.00
Jeff Bezos,72.8, 2017.00,45.2,3,Jeff Bezos, 2017.00
Jeff Bezos,112.0, 2018.00,72.8,1,Jeff Bezos, 2018.00
Jeff Bezos,135.0, 2019.00,112.0,1,Jeff Bezos, 2019.00
Bill Gates,18.5, 1996.00,18.5,1,Bill Gates, 1996.00
Bill Gates,36.4, 1997.00,18.5,2,Bill Gates, 1997.00
Bill Gates,51.0, 1998.00,36.4,1,Bill Gates, 1998.00
Bill Gates,90.0, 1999.00,51.0,1,Bill Gates, 1999.00
Bill Gates,60.0, 2000.00,90.0,1,Bill Gates, 1999.00
Bill Gates,58.7, 2001.00,60.0,1,Bill Gates, 1999.00
Bill Gates,52.8, 2002.00,58.7,1,Bill Gates, 1999.00
Bill Gates,40.7, 2003.00,52.8,1,Bill Gates, 1999.00
Bill Gates,46.6, 2004.00,40.7,1,Bill Gates, 1999.00
Bill Gates,46.5, 2005.00,46.6,1,Bill Gates, 1999.00
Bill Gates,50.0, 2006.00,46.5,1,Bill Gates, 1999.00
Bill Gates,56.0, 2007.00,50.0,1,Bill Gates, 1999.00
Bill Gates,58.0, 2008.00,56.0,3,Bill Gates, 1999.00
Bill Gates,40.0, 2009.00,58.0,1,Bill Gates, 1999.00
Bill Gates,53.0, 2010.00,40.0,2,Bill Gates, 1999.00
Bill Gates,56.0, 2011.00,53.0,2,Bill Gates, 1999.00
Bill Gates,61.0, 2012.00,56.0,2,Bill Gates, 1999.00
Bill Gates,67.0, 2013.00,61.0,2,Bill Gates, 1999.00
Bill Gates,76.0, 2014.00,67.0,1,Bill Gates, 1999.00
Bill Gates,79.2, 2015.00,76.0,1,Bill Gates, 1999.00
Bill Gates,75.0, 2016.00,79.2,1,Bill Gates, 1999.00
Bill Gates,86.0, 2017.00,75.0,1,Bill Gates, 1999.00
Bill Gates,90.0, 2018.00,86.0,2,Bill Gates, 1999.00
Bill Gates,97.7, 2019.00,90.0,2,Bill Gates, 2019.00
Warren Buffett,15.0, 1996.00,15.0,2,Warren Buffett, 1996.00
Warren Buffett,23.2, 1997.00,15.0,4,Warren Buffett, 1997.00
Warren Buffett,33.0, 1998.00,23.2,4,Warren Buffett, 1998.00
Warren Buffett,36.0, 1999.00,33.0,2,Warren Buffett, 1999.00
Warren Buffett,25.6, 2000.00,36.0,4,Warren Buffett, 1999.00
Warren Buffett,32.3, 2001.00,25.6,2,Warren Buffett, 1999.00
Warren Buffett,35.0, 2002.00,32.3,2,Warren Buffett, 1999.00
Warren Buffett,30.5, 2003.00,35.0,2,Warren Buffett, 1999.00
Warren Buffett,42.9, 2004.00,30.5,2,Warren Buffett, 2004.00
Warren Buffett,44.0, 2005.00,42.9,2,Warren Buffett, 2005.00
Warren Buffett,42.0, 2006.00,44.0,2,Warren Buffett, 2005.00
Warren Buffett,52.0, 2007.00,42.0,2,Warren Buffett, 2007.00
Warren Buffett,62.0, 2008.00,52.0,1,Warren Buffett, 2008.00
Warren Buffett,37.0, 2009.00,62.0,2,Warren Buffett, 2008.00
Warren Buffett,47.0, 2010.00,37.0,3,Warren Buffett, 2008.00
Warren Buffett,50.0, 2011.00,47.0,3,Warren Buffett, 2008.00
Warren Buffett,44.0, 2012.00,50.0,3,Warren Buffett, 2008.00
Warren Buffett,53.5, 2013.00,44.0,4,Warren Buffett, 2008.00
Warren Buffett,58.2, 2014.00,53.5,4,Warren Buffett, 2008.00
Warren Buffett,72.7, 2015.00,58.2,3,Warren Buffett, 2015.00
Warren Buffett,60.8, 2016.00,72.7,3,Warren Buffett, 2015.00
Warren Buffett,75.6, 2017.00,60.8,2,Warren Buffett, 2017.00
Warren Buffett,84.0, 2018.00,75.6,3,Warren Buffett, 2018.00
Warren Buffett,82.0, 2019.00,84.0,3,Warren Buffett, 2018.00
Bernard Arnault,0.0, 1996.00,0.0,396,Bernard Arnault,
Bernard Arnault,0.0, 1997.00,0.0,346,Bernard Arnault,
Bernard Arnault,0.0, 1998.00,0.0,309,Bernard Arnault,
Bernard Arnault,0.0, 1999.00,0.0,267,Bernard Arnault,
Bernard Arnault,0.0, 2000.00,0.0,230,Bernard Arnault,
Bernard Arnault,0.0, 2001.00,0.0,185,Bernard Arnault,
Bernard Arnault,0.0, 2002.00,0.0,138,Bernard Arnault,
Bernard Arnault,6.7, 2003.00,0.0,40,Bernard Arnault, 2003.00
Bernard Arnault,12.2, 2004.00,6.7,21,Bernard Arnault, 2004.00
Bernard Arnault,17.0, 2005.00,12.2,17,Bernard Arnault, 2005.00
Bernard Arnault,21.5, 2006.00,17.0,7,Bernard Arnault, 2006.00
Bernard Arnault,26.0, 2007.00,21.5,7,Bernard Arnault, 2007.00
