name,value,year,lastValue,rank,image,largeDate,country
Tokyo,82500,1606,60000,27,Japan,1606,Japan
Tokyo,93750,1606.5,82500,0,Japan,1606.5,Japan
Tokyo,105000,1607,93750,20,Japan,1607,Japan
Tokyo,116250,1607.5,105000,0,Japan,1607.5,Japan
Tokyo,127500,1608,116250,20,Japan,1608,Japan
Tokyo,138750,1608.5,127500,0,Japan,1608.5,Japan
Tokyo,150000,1609,138750,15,Japan,1609,Japan
Tokyo,150000,1609.5,150000,0,Japan,1609,Japan
Tokyo,150000,1610,150000,15,Japan,1609,Japan
Tokyo,154375,1610.5,150000,0,Japan,1610.5,Japan
Tokyo,158750,1611,154375,15,Japan,1611,Japan
Tokyo,163125,1611.5,158750,0,Japan,1611.5,Japan
Tokyo,167500,1612,163125,15,Japan,1612,Japan
Tokyo,171875,1612.5,167500,0,Japan,1612.5,Japan
Tokyo,176250,1613,171875,15,Japan,1613,Japan
Tokyo,180625,1613.5,176250,0,Japan,1613.5,Japan
Tokyo,185000,1614,180625,15,Japan,1614,Japan
Tokyo,189375,1614.5,185000,0,Japan,1614.5,Japan
Tokyo,193750,1615,189375,11,Japan,1615,Japan
Tokyo,198125,1615.5,193750,0,Japan,1615.5,Japan
Tokyo,202500,1616,198125,11,Japan,1616,Japan
Tokyo,206875,1616.5,202500,0,Japan,1616.5,Japan
Tokyo,211250,1617,206875,11,Japan,1617,Japan
Tokyo,215625,1617.5,211250,0,Japan,1617.5,Japan
Tokyo,220000,1618,215625,11,Japan,1618,Japan
Tokyo,224375,1618.5,220000,0,Japan,1618.5,Japan
Tokyo,228750,1619,224375,10,Japan,1619,Japan
Tokyo,233125,1619.5,228750,0,Japan,1619.5,Japan
Tokyo,237500,1620,233125,10,Japan,1620,Japan
Tokyo,241875,1620.5,237500,0,Japan,1620.5,Japan
Tokyo,246250,1621,241875,10,Japan,1621,Japan
Tokyo,250625,1621.5,246250,0,Japan,1621.5,Japan
