name,value,year,lastValue,rank,image,largeDate,country
Afghanistan,7.450,1960,7.450,2,Afghanistan,1960,Afghanistan
Afghanistan,7.450,1960.05,7.450,0,Afghanistan,1960.05,Afghanistan
Afghanistan,7.450,1960.1,7.450,0,Afghanistan,1960.1,Afghanistan
Afghanistan,7.450,1960.15,7.450,0,Afghanistan,1960.15,Afghanistan
Afghanistan,7.450,1960.2,7.450,0,Afghanistan,1960.2,Afghanistan
Afghanistan,7.450,1960.25,7.450,0,Afghanistan,1960.25,Afghanistan
Afghanistan,7.450,1960.3,7.450,0,Afghanistan,1960.3,Afghanistan
Afghanistan,7.450,1960.35,7.450,0,Afghanistan,1960.35,Afghanistan
Afghanistan,7.450,1960.4,7.450,0,Afghanistan,1960.4,Afghanistan
Afghanistan,7.450,1960.45,7.450,0,Afghanistan,1960.45,Afghanistan
Afghanistan,7.450,1960.5,7.450,0,Afghanistan,1960.5,Afghanistan
Afghanistan,7.450,1960.55,7.450,0,Afghanistan,1960.55,Afghanistan
Afghanistan,7.450,1960.6,7.450,0,Afghanistan,1960.6,Afghanistan
Afghanistan,7.450,1960.65,7.450,0,Afghanistan,1960.65,Afghanistan
Afghanistan,7.450,1960.7,7.450,0,Afghanistan,1960.7,Afghanistan
Afghanistan,7.450,1960.75,7.450,0,Afghanistan,1960.75,Afghanistan
Afghanistan,7.450,1960.8,7.450,0,Afghanistan,1960.8,Afghanistan
Afghanistan,7.450,1960.85,7.450,0,Afghanistan,1960.85,Afghanistan
Afghanistan,7.450,1960.9,7.450,0,Afghanistan,1960.9,Afghanistan
Afghanistan,7.450,1960.95,7.450,0,Afghanistan,1960.95,Afghanistan
Afghanistan,7.450,1961,7.450,2,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.05,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.1,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.15,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.2,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.25,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.3,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.35,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.4,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.45,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.5,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.55,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.6,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.65,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.7,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.75,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.8,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.85,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.9,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1961.95,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962,7.450,2,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.05,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.1,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.15,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.2,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.25,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.3,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.35,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.4,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.45,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.5,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.55,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.6,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.65,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.7,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.75,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.8,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.85,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.9,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1962.95,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963,7.450,3,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.05,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.1,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.15,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.2,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.25,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.3,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.35,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.4,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.45,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.5,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.55,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.6,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.65,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.7,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.75,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.8,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.85,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.9,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1963.95,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964,7.450,3,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.05,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.1,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.15,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.2,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.25,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.3,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.35,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.4,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.45,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.5,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.55,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.6,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.65,7.450,0,Afghanistan,1961,Afghanistan
Afghanistan,7.450,1964.7,7.450,0,Afghanistan,1961,Afghanistan
