name,value,year,lastValue,rank,image,largeDate,country
France,2.850,1960,2.850,13,France,1960,France
France,2.851,1960.05,2.850,0,France,1960.05,France
France,2.852,1960.1,2.851,0,France,1960.1,France
France,2.853,1960.15,2.852,0,France,1960.15,France
France,2.854,1960.2,2.853,0,France,1960.2,France
France,2.855,1960.25,2.854,0,France,1960.25,France
France,2.856,1960.3,2.855,0,France,1960.3,France
France,2.857,1960.35,2.856,0,France,1960.35,France
France,2.858,1960.4,2.857,0,France,1960.4,France
France,2.859,1960.45,2.858,0,France,1960.45,France
France,2.860,1960.5,2.859,0,France,1960.5,France
France,2.861,1960.55,2.860,0,France,1960.55,France
France,2.862,1960.6,2.861,0,France,1960.6,France
France,2.863,1960.65,2.862,0,France,1960.65,France
France,2.864,1960.7,2.863,0,France,1960.7,France
France,2.865,1960.75,2.864,0,France,1960.75,France
France,2.866,1960.8,2.865,0,France,1960.8,France
France,2.867,1960.85,2.866,0,France,1960.85,France
France,2.868,1960.9,2.867,0,France,1960.9,France
France,2.869,1960.95,2.868,0,France,1960.95,France
France,2.870,1961,2.869,12,France,1961,France
France,2.871,1961.05,2.870,0,France,1961.05,France
France,2.872,1961.1,2.871,0,France,1961.1,France
France,2.873,1961.15,2.872,0,France,1961.15,France
France,2.874,1961.2,2.873,0,France,1961.2,France
France,2.875,1961.25,2.874,0,France,1961.25,France
France,2.876,1961.3,2.875,0,France,1961.3,France
France,2.877,1961.35,2.876,0,France,1961.35,France
France,2.878,1961.4,2.877,0,France,1961.4,France
France,2.879,1961.45,2.878,0,France,1961.45,France
France,2.880,1961.5,2.879,0,France,1961.5,France
France,2.881,1961.55,2.880,0,France,1961.55,France
France,2.882,1961.6,2.881,0,France,1961.6,France
France,2.883,1961.65,2.882,0,France,1961.65,France
France,2.884,1961.7,2.883,0,France,1961.7,France
France,2.885,1961.75,2.884,0,France,1961.75,France
France,2.886,1961.8,2.885,0,France,1961.8,France
France,2.887,1961.85,2.886,0,France,1961.85,France
France,2.888,1961.9,2.887,0,France,1961.9,France
France,2.889,1961.95,2.888,0,France,1961.95,France
France,2.890,1962,2.889,12,France,1962,France
France,2.890,1962.05,2.890,0,France,1962,France
France,2.890,1962.1,2.890,0,France,1962,France
France,2.890,1962.15,2.890,0,France,1962,France
France,2.890,1962.2,2.890,0,France,1962,France
France,2.890,1962.25,2.890,0,France,1962,France
France,2.890,1962.3,2.890,0,France,1962,France
France,2.890,1962.35,2.890,0,France,1962,France
France,2.890,1962.4,2.890,0,France,1962,France
France,2.890,1962.45,2.890,0,France,1962,France
France,2.890,1962.5,2.890,0,France,1962,France
France,2.890,1962.55,2.890,0,France,1962,France
France,2.890,1962.6,2.890,0,France,1962,France
France,2.890,1962.65,2.890,0,France,1962,France
France,2.890,1962.7,2.890,0,France,1962,France
France,2.890,1962.75,2.890,0,France,1962,France
France,2.890,1962.8,2.890,0,France,1962,France
France,2.890,1962.85,2.890,0,France,1962,France
France,2.890,1962.9,2.890,0,France,1962,France
France,2.890,1962.95,2.890,0,France,1962,France
France,2.890,1963,2.890,12,France,1962,France
France,2.889,1963.05,2.890,0,France,1962,France
France,2.888,1963.1,2.889,0,France,1962,France
France,2.887,1963.15,2.888,0,France,1962,France
France,2.886,1963.2,2.887,0,France,1962,France
France,2.885,1963.25,2.886,0,France,1962,France
France,2.884,1963.3,2.885,0,France,1962,France
France,2.883,1963.35,2.884,0,France,1962,France
France,2.882,1963.4,2.883,0,France,1962,France
France,2.881,1963.45,2.882,0,France,1962,France
France,2.880,1963.5,2.881,0,France,1962,France
France,2.879,1963.55,2.880,0,France,1962,France
France,2.878,1963.6,2.879,0,France,1962,France
France,2.877,1963.65,2.878,0,France,1962,France
France,2.876,1963.7,2.877,0,France,1962,France
France,2.875,1963.75,2.876,0,France,1962,France
France,2.874,1963.8,2.875,0,France,1962,France
France,2.873,1963.85,2.874,0,France,1962,France
France,2.872,1963.9,2.873,0,France,1962,France
France,2.871,1963.95,2.872,0,France,1962,France
France,2.870,1964,2.871,13,France,1962,France
France,2.869,1964.05,2.870,0,France,1962,France
France,2.867,1964.1,2.869,0,France,1962,France
France,2.866,1964.15,2.867,0,France,1962,France
France,2.864,1964.2,2.866,0,France,1962,France
France,2.863,1964.25,2.864,0,France,1962,France
France,2.861,1964.3,2.863,0,France,1962,France
France,2.860,1964.35,2.861,0,France,1962,France
France,2.858,1964.4,2.860,0,France,1962,France
France,2.857,1964.45,2.858,0,France,1962,France
France,2.855,1964.5,2.857,0,France,1962,France
France,2.854,1964.55,2.855,0,France,1962,France
France,2.852,1964.6,2.854,0,France,1962,France
France,2.851,1964.65,2.852,0,France,1962,France
France,2.849,1964.7,2.851,0,France,1962,France
France,2.848,1964.75,2.849,0,France,1962,France
France,2.846,1964.8,2.848,0,France,1962,France
France,2.845,1964.85,2.846,0,France,1962,France
France,2.843,1964.9,2.845,0,France,1962,France
France,2.842,1964.95,2.843,0,France,1962,France
France,2.840,1965,2.842,13,France,1962,France
France,2.838,1965.05,2.840,0,France,1962,France
France,2.836,1965.1,2.838,0,France,1962,France
France,2.834,1965.15,2.836,0,France,1962,France
France,2.832,1965.2,2.834,0,France,1962,France
France,2.830,1965.25,2.832,0,France,1962,France
France,2.828,1965.3,2.830,0,France,1962,France
France,2.826,1965.35,2.828,0,France,1962,France
France,2.824,1965.4,2.826,0,France,1962,France
France,2.822,1965.45,2.824,0,France,1962,France
France,2.820,1965.5,2.822,0,France,1962,France
France,2.818,1965.55,2.820,0,France,1962,France
France,2.816,1965.6,2.818,0,France,1962,France
France,2.814,1965.65,2.816,0,France,1962,France
France,2.812,1965.7,2.814,0,France,1962,France
France,2.810,1965.75,2.812,0,France,1962,France
France,2.808,1965.8,2.810,0,France,1962,France
France,2.806,1965.85,2.808,0,France,1962,France
France,2.804,1965.9,2.806,0,France,1962,France
France,2.802,1965.95,2.804,0,France,1962,France
France,2.800,1966,2.802,12,France,1962,France
France,2.798,1966.05,2.800,0,France,1962,France
France,2.795,1966.1,2.798,0,France,1962,France
France,2.793,1966.15,2.795,0,France,1962,France
France,2.790,1966.2,2.793,0,France,1962,France
France,2.787,1966.25,2.790,0,France,1962,France
France,2.785,1966.3,2.787,0,France,1962,France
France,2.782,1966.35,2.785,0,France,1962,France
France,2.780,1966.4,2.782,0,France,1962,France
France,2.778,1966.45,2.780,0,France,1962,France
France,2.775,1966.5,2.778,0,France,1962,France
France,2.773,1966.55,2.775,0,France,1962,France
France,2.770,1966.6,2.773,0,France,1962,France
France,2.768,1966.65,2.770,0,France,1962,France
France,2.765,1966.7,2.768,0,France,1962,France
France,2.763,1966.75,2.765,0,France,1962,France
France,2.760,1966.8,2.763,0,France,1962,France
France,2.758,1966.85,2.760,0,France,1962,France
France,2.755,1966.9,2.758,0,France,1962,France
France,2.753,1966.95,2.755,0,France,1962,France
France,2.750,1967,2.753,12,France,1962,France
France,2.747,1967.05,2.750,0,France,1962,France
France,2.744,1967.1,2.747,0,France,1962,France
France,2.741,1967.15,2.744,0,France,1962,France
France,2.738,1967.2,2.741,0,France,1962,France
France,2.735,1967.25,2.738,0,France,1962,France
France,2.732,1967.3,2.735,0,France,1962,France
France,2.729,1967.35,2.732,0,France,1962,France
France,2.726,1967.4,2.729,0,France,1962,France
France,2.723,1967.45,2.726,0,France,1962,France
France,2.720,1967.5,2.723,0,France,1962,France
France,2.717,1967.55,2.720,0,France,1962,France
France,2.714,1967.6,2.717,0,France,1962,France
France,2.711,1967.65,2.714,0,France,1962,France
France,2.708,1967.7,2.711,0,France,1962,France
France,2.705,1967.75,2.708,0,France,1962,France
France,2.702,1967.8,2.705,0,France,1962,France
France,2.699,1967.85,2.702,0,France,1962,France
France,2.696,1967.9,2.699,0,France,1962,France
France,2.693,1967.95,2.696,0,France,1962,France
France,2.690,1968,2.693,12,France,1962,France
France,2.687,1968.05,2.690,0,France,1962,France
France,2.683,1968.1,2.687,0,France,1962,France
France,2.680,1968.15,2.683,0,France,1962,France
France,2.676,1968.2,2.680,0,France,1962,France
France,2.673,1968.25,2.676,0,France,1962,France
France,2.669,1968.3,2.673,0,France,1962,France
France,2.666,1968.35,2.669,0,France,1962,France
