name,value,year,lastValue,rank,image,largeDate,country
Korea Rep.,1.166,2002,1.297,20,KoreaRep.,2002,KoreaRep.
Korea Rep.,1.167,2002.05,1.166,0,KoreaRep.,2002.05,KoreaRep.
Korea Rep.,1.167,2002.1,1.167,0,KoreaRep.,2002.1,KoreaRep.
Korea Rep.,1.168,2002.15,1.167,0,KoreaRep.,2002.15,KoreaRep.
Korea Rep.,1.169,2002.2,1.168,0,KoreaRep.,2002.2,KoreaRep.
Korea Rep.,1.170,2002.25,1.169,0,KoreaRep.,2002.25,KoreaRep.
Korea Rep.,1.170,2002.3,1.170,0,KoreaRep.,2002.3,KoreaRep.
Korea Rep.,1.171,2002.35,1.170,0,KoreaRep.,2002.35,KoreaRep.
Korea Rep.,1.172,2002.4,1.171,0,KoreaRep.,2002.4,KoreaRep.
Korea Rep.,1.172,2002.45,1.172,0,KoreaRep.,2002.45,KoreaRep.
Korea Rep.,1.173,2002.5,1.172,0,KoreaRep.,2002.5,KoreaRep.
Korea Rep.,1.174,2002.55,1.173,0,KoreaRep.,2002.55,KoreaRep.
Korea Rep.,1.174,2002.6,1.174,0,KoreaRep.,2002.6,KoreaRep.
Korea Rep.,1.175,2002.65,1.174,0,KoreaRep.,2002.65,KoreaRep.
Korea Rep.,1.176,2002.7,1.175,0,KoreaRep.,2002.7,KoreaRep.
Korea Rep.,1.176,2002.75,1.176,0,KoreaRep.,2002.75,KoreaRep.
Korea Rep.,1.177,2002.8,1.176,0,KoreaRep.,2002.8,KoreaRep.
Korea Rep.,1.178,2002.85,1.177,0,KoreaRep.,2002.85,KoreaRep.
Korea Rep.,1.179,2002.9,1.178,0,KoreaRep.,2002.9,KoreaRep.
Korea Rep.,1.179,2002.95,1.179,0,KoreaRep.,2002.95,KoreaRep.
Korea Rep.,1.180,2003,1.179,22,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.179,2003.05,1.180,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.177,2003.1,1.179,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.176,2003.15,1.177,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.175,2003.2,1.176,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.174,2003.25,1.175,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.172,2003.3,1.174,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.171,2003.35,1.172,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.170,2003.4,1.171,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.168,2003.45,1.170,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.167,2003.5,1.168,0,KoreaRep.,2003,KoreaRep.
Korea Rep.,1.166,2003.55,1.167,0,KoreaRep.,2003,KoreaRep.
