name,value,year,lastValue,rank,image,largeDate,country
Isle of Man,7.572,1961.05,2.707,0,IsleofMan,1961.05,IsleofMan
Isle of Man,12.436,1961.1,7.572,0,IsleofMan,1961.1,IsleofMan
Isle of Man,17.301,1961.15,12.436,0,IsleofMan,1961.15,IsleofMan
Isle of Man,22.166,1961.2,17.301,0,IsleofMan,1961.2,IsleofMan
Isle of Man,27.030,1961.25,22.166,0,IsleofMan,1961.25,IsleofMan
Isle of Man,31.895,1961.3,27.030,0,IsleofMan,1961.3,IsleofMan
Isle of Man,36.760,1961.35,31.895,0,IsleofMan,1961.35,IsleofMan
Isle of Man,41.624,1961.4,36.760,0,IsleofMan,1961.4,IsleofMan
Isle of Man,46.489,1961.45,41.624,0,IsleofMan,1961.45,IsleofMan
Isle of Man,51.354,1961.5,46.489,0,IsleofMan,1961.5,IsleofMan
Isle of Man,56.218,1961.55,51.354,0,IsleofMan,1961.55,IsleofMan
Isle of Man,61.083,1961.6,56.218,0,IsleofMan,1961.6,IsleofMan
Isle of Man,65.947,1961.65,61.083,0,IsleofMan,1961.65,IsleofMan
Isle of Man,70.812,1961.7,65.947,0,IsleofMan,1961.7,IsleofMan
Isle of Man,75.677,1961.75,70.812,0,IsleofMan,1961.75,IsleofMan
Isle of Man,80.541,1961.8,75.677,0,IsleofMan,1961.8,IsleofMan
Isle of Man,85.406,1961.85,80.541,0,IsleofMan,1961.85,IsleofMan
Isle of Man,90.271,1961.9,85.406,0,IsleofMan,1961.9,IsleofMan
Isle of Man,95.135,1961.95,90.271,0,IsleofMan,1961.95,IsleofMan
Andorra,1.240,2006,100.000,18,Andorra,2006,Andorra
Andorra,1.237,2006.05,1.240,0,Andorra,2006,Andorra
Andorra,1.234,2006.1,1.237,0,Andorra,2006,Andorra
Andorra,1.231,2006.15,1.234,0,Andorra,2006,Andorra
Andorra,1.228,2006.2,1.231,0,Andorra,2006,Andorra
Andorra,1.225,2006.25,1.228,0,Andorra,2006,Andorra
Andorra,1.222,2006.3,1.225,0,Andorra,2006,Andorra
Andorra,1.219,2006.35,1.222,0,Andorra,2006,Andorra
Andorra,1.216,2006.4,1.219,0,Andorra,2006,Andorra
Andorra,1.213,2006.45,1.216,0,Andorra,2006,Andorra
Andorra,1.210,2006.5,1.213,0,Andorra,2006,Andorra
Andorra,1.207,2006.55,1.210,0,Andorra,2006,Andorra
Andorra,1.204,2006.6,1.207,0,Andorra,2006,Andorra
Andorra,1.201,2006.65,1.204,0,Andorra,2006,Andorra
Andorra,1.198,2006.7,1.201,0,Andorra,2006,Andorra
Andorra,1.195,2006.75,1.198,0,Andorra,2006,Andorra
Andorra,1.192,2006.8,1.195,0,Andorra,2006,Andorra
Andorra,1.189,2006.85,1.192,0,Andorra,2006,Andorra
Andorra,1.186,2006.9,1.189,0,Andorra,2006,Andorra
Andorra,1.183,2006.95,1.186,0,Andorra,2006,Andorra
Andorra,1.180,2007,1.183,16,Andorra,2006,Andorra
Andorra,1.184,2007.05,1.180,0,Andorra,2006,Andorra
Andorra,1.187,2007.1,1.184,0,Andorra,2006,Andorra
Andorra,1.191,2007.15,1.187,0,Andorra,2006,Andorra
Andorra,1.194,2007.2,1.191,0,Andorra,2006,Andorra
Andorra,1.198,2007.25,1.194,0,Andorra,2006,Andorra
Andorra,1.201,2007.3,1.198,0,Andorra,2006,Andorra
Andorra,1.205,2007.35,1.201,0,Andorra,2006,Andorra
Andorra,1.208,2007.4,1.205,0,Andorra,2006,Andorra
Andorra,1.212,2007.45,1.208,0,Andorra,2006,Andorra
Andorra,1.215,2007.5,1.212,0,Andorra,2006,Andorra
Andorra,1.219,2007.55,1.215,0,Andorra,2006,Andorra
Andorra,1.222,2007.6,1.219,0,Andorra,2006,Andorra
Andorra,1.226,2007.65,1.222,0,Andorra,2006,Andorra
Andorra,1.229,2007.7,1.226,0,Andorra,2006,Andorra
Andorra,1.233,2007.75,1.229,0,Andorra,2006,Andorra
Andorra,1.236,2007.8,1.233,0,Andorra,2006,Andorra
Andorra,1.240,2007.85,1.236,0,Andorra,2006,Andorra
Andorra,1.243,2007.9,1.240,0,Andorra,2007.9,Andorra
Andorra,1.247,2007.95,1.243,0,Andorra,2007.95,Andorra
Andorra,1.250,2008,1.247,17,Andorra,2008,Andorra
Andorra,1.247,2008.05,1.250,0,Andorra,2008,Andorra
Andorra,1.244,2008.1,1.247,0,Andorra,2008,Andorra
Andorra,1.241,2008.15,1.244,0,Andorra,2008,Andorra
Andorra,1.238,2008.2,1.241,0,Andorra,2008,Andorra
Andorra,1.235,2008.25,1.238,0,Andorra,2008,Andorra
Andorra,1.232,2008.3,1.235,0,Andorra,2008,Andorra
Andorra,1.229,2008.35,1.232,0,Andorra,2008,Andorra
Andorra,1.226,2008.4,1.229,0,Andorra,2008,Andorra
Andorra,1.223,2008.45,1.226,0,Andorra,2008,Andorra
Andorra,1.220,2008.5,1.223,0,Andorra,2008,Andorra
Andorra,1.217,2008.55,1.220,0,Andorra,2008,Andorra
Andorra,1.214,2008.6,1.217,0,Andorra,2008,Andorra
Andorra,1.211,2008.65,1.214,0,Andorra,2008,Andorra
Andorra,1.208,2008.7,1.211,0,Andorra,2008,Andorra
Andorra,1.205,2008.75,1.208,0,Andorra,2008,Andorra
Andorra,1.202,2008.8,1.205,0,Andorra,2008,Andorra
Andorra,1.199,2008.85,1.202,0,Andorra,2008,Andorra
Andorra,1.196,2008.9,1.199,0,Andorra,2008,Andorra
Andorra,1.193,2008.95,1.196,0,Andorra,2008,Andorra
Andorra,1.190,2009,1.193,17,Andorra,2008,Andorra
Andorra,1.194,2009.05,1.190,0,Andorra,2008,Andorra
Andorra,1.198,2009.1,1.194,0,Andorra,2008,Andorra
Andorra,1.202,2009.15,1.198,0,Andorra,2008,Andorra
Andorra,1.206,2009.2,1.202,0,Andorra,2008,Andorra
Andorra,1.210,2009.25,1.206,0,Andorra,2008,Andorra
Andorra,1.214,2009.3,1.210,0,Andorra,2008,Andorra
Andorra,1.218,2009.35,1.214,0,Andorra,2008,Andorra
