name,value,year,lastValue,rank,image,largeDate,country
Andorra,1.24,2006,100,18,Andorra,2006,Andorra
Andorra,1.237,2006.05,1.24,0,Andorra,2006,Andorra
Andorra,1.234,2006.1,1.237,0,Andorra,2006,Andorra
Andorra,1.231,2006.15,1.234,0,Andorra,2006,Andorra
Andorra,1.228,2006.2,1.231,0,Andorra,2006,Andorra
Andorra,1.225,2006.25,1.228,0,Andorra,2006,Andorra
Andorra,1.222,2006.3,1.225,0,Andorra,2006,Andorra
Andorra,1.219,2006.35,1.222,0,Andorra,2006,Andorra
Andorra,1.216,2006.4,1.219,0,Andorra,2006,Andorra
Andorra,1.213,2006.45,1.216,0,Andorra,2006,Andorra
Andorra,1.21,2006.5,1.213,0,Andorra,2006,Andorra
Andorra,1.207,2006.55,1.21,0,Andorra,2006,Andorra
Andorra,1.204,2006.6,1.207,0,Andorra,2006,Andorra
Andorra,1.201,2006.65,1.204,0,Andorra,2006,Andorra
Andorra,1.198,2006.7,1.201,0,Andorra,2006,Andorra
Andorra,1.195,2006.75,1.198,0,Andorra,2006,Andorra
Andorra,1.192,2006.8,1.195,0,Andorra,2006,Andorra
Andorra,1.189,2006.85,1.192,0,Andorra,2006,Andorra
Andorra,1.186,2006.9,1.189,0,Andorra,2006,Andorra
Andorra,1.183,2006.95,1.186,0,Andorra,2006,Andorra
Andorra,1.18,2007,1.183,16,Andorra,2006,Andorra
Andorra,1.184,2007.05,1.18,0,Andorra,2006,Andorra
Andorra,1.187,2007.1,1.184,0,Andorra,2006,Andorra
Andorra,1.191,2007.15,1.187,0,Andorra,2006,Andorra
Andorra,1.194,2007.2,1.191,0,Andorra,2006,Andorra
Andorra,1.198,2007.25,1.194,0,Andorra,2006,Andorra
Andorra,1.201,2007.3,1.198,0,Andorra,2006,Andorra
Andorra,1.205,2007.35,1.201,0,Andorra,2006,Andorra
Andorra,1.208,2007.4,1.205,0,Andorra,2006,Andorra
Andorra,1.212,2007.45,1.208,0,Andorra,2006,Andorra
Andorra,1.215,2007.5,1.212,0,Andorra,2006,Andorra
Andorra,1.219,2007.55,1.215,0,Andorra,2006,Andorra
Andorra,1.222,2007.6,1.219,0,Andorra,2006,Andorra
Andorra,1.226,2007.65,1.222,0,Andorra,2006,Andorra
Andorra,1.229,2007.7,1.226,0,Andorra,2006,Andorra
Andorra,1.233,2007.75,1.229,0,Andorra,2006,Andorra
