name,value,year,lastValue,rank,image,largeDate
Nintendo Switch,0,2017,0,0,Nintendo,
Nintendo Switch,1.749,2017.1,0,0,Nintendo,2017.1
Nintendo Switch,3.499,2017.2,1.749,0,Nintendo,2017.2
Nintendo Switch,5.248,2017.3,3.499,0,Nintendo,2017.3
Nintendo Switch,6.997,2017.4,5.248,0,Nintendo,2017.4
Nintendo Switch,8.747,2017.5,6.997,0,Nintendo,2017.5
Nintendo Switch,10.496,2017.6,8.747,0,Nintendo,2017.6
Nintendo Switch,12.245,2017.7,10.496,0,Nintendo,2017.7
Nintendo Switch,13.995,2017.8,12.245,0,Nintendo,2017.8
Nintendo Switch,15.744,2017.9,13.995,0,Nintendo,2017.9
Nintendo Switch,17.493,2018,15.744,0,Nintendo,2018
Nintendo Switch,19.243,2018.1,17.493,0,Nintendo,2018.1
Nintendo Switch,20.992,2018.2,19.243,0,Nintendo,2018.2
Nintendo Switch,22.741,2018.3,20.992,0,Nintendo,2018.3
Nintendo Switch,24.491,2018.4,22.741,0,Nintendo,2018.4
Nintendo Switch,26.24,2018.5,24.491,0,Nintendo,2018.5
Nintendo Switch,27.989,2018.6,26.24,0,Nintendo,2018.6
Nintendo Switch,29.739,2018.7,27.989,0,Nintendo,2018.7
Nintendo Switch,31.488,2018.8,29.739,0,Nintendo,2018.8
Nintendo Switch,33.237,2018.9,31.488,0,Nintendo,2018.9
Nintendo Switch,34.987,2019,33.237,0,Nintendo,2019
Nintendo Switch,36.736,2019.1,34.987,0,Nintendo,2019.1
Nintendo Switch,38.485,2019.2,36.736,0,Nintendo,2019.2
Nintendo Switch,40.235,2019.3,38.485,0,Nintendo,2019.3
Nintendo Switch,41.984,2019.4,40.235,0,Nintendo,2019.4
Nintendo Switch,43.733,2019.5,41.984,0,Nintendo,2019.5
Nintendo Switch,45.483,2019.6,43.733,0,Nintendo,2019.6
Nintendo Switch,47.232,2019.7,45.483,0,Nintendo,2019.7
Nintendo Switch,48.981,2019.8,47.232,0,Nintendo,2019.8
Nintendo Switch,50.731,2019.9,48.981,0,Nintendo,2019.9
Nintendo Switch,52.48,2020,34.987,0,Nintendo,2020
Super NES Classic Edition,0,2017,0,0,Nintendo,
Super NES Classic Edition,0.176,2017.1,0,0,Nintendo,2017.1
Super NES Classic Edition,0.352,2017.2,0.176,0,Nintendo,2017.2
Super NES Classic Edition,0.528,2017.3,0.352,0,Nintendo,2017.3
Super NES Classic Edition,0.704,2017.4,0.528,0,Nintendo,2017.4
Super NES Classic Edition,0.88,2017.5,0.704,0,Nintendo,2017.5
Super NES Classic Edition,1.056,2017.6,0.88,0,Nintendo,2017.6
Super NES Classic Edition,1.232,2017.7,1.056,0,Nintendo,2017.7
Super NES Classic Edition,1.408,2017.8,1.232,0,Nintendo,2017.8
Super NES Classic Edition,1.584,2017.9,1.408,0,Nintendo,2017.9
Super NES Classic Edition,1.76,2018,1.584,0,Nintendo,2018
Super NES Classic Edition,1.936,2018.1,1.76,0,Nintendo,2018.1
Super NES Classic Edition,2.112,2018.2,1.936,0,Nintendo,2018.2
Super NES Classic Edition,2.288,2018.3,2.112,0,Nintendo,2018.3
Super NES Classic Edition,2.464,2018.4,2.288,0,Nintendo,2018.4
Super NES Classic Edition,2.64,2018.5,2.464,0,Nintendo,2018.5
Super NES Classic Edition,2.816,2018.6,2.64,0,Nintendo,2018.6
Super NES Classic Edition,2.992,2018.7,2.816,0,Nintendo,2018.7
Super NES Classic Edition,3.168,2018.8,2.992,0,Nintendo,2018.8
Super NES Classic Edition,3.344,2018.9,3.168,0,Nintendo,2018.9
Super NES Classic Edition,3.52,2019,3.344,0,Nintendo,2019
Super NES Classic Edition,3.696,2019.1,3.52,0,Nintendo,2019.1
Super NES Classic Edition,3.872,2019.2,3.696,0,Nintendo,2019.2
Super NES Classic Edition,4.048,2019.3,3.872,0,Nintendo,2019.3
Super NES Classic Edition,4.224,2019.4,4.048,0,Nintendo,2019.4
Super NES Classic Edition,4.4,2019.5,4.224,0,Nintendo,2019.5
Super NES Classic Edition,4.576,2019.6,4.4,0,Nintendo,2019.6
