name,value,year,lastValue,rank,image,largeDate
Afghanistan,1,20200224,0,0,Afghanistan,20200224
Afghanistan,1,20200225,1,0,Afghanistan,20200224
Afghanistan,1,20200226,1,0,Afghanistan,20200224
Afghanistan,1,20200227,1,0,Afghanistan,20200224
Afghanistan,1,20200228,1,0,Afghanistan,20200224
Afghanistan,1,20200229,1,0,Afghanistan,20200224
Afghanistan,1,20200301,1,0,Afghanistan,20200224
Afghanistan,1,20200302,1,0,Afghanistan,20200224
Afghanistan,1,20200303,1,0,Afghanistan,20200224
Afghanistan,1,20200304,1,0,Afghanistan,20200224
Afghanistan,1,20200305,1,0,Afghanistan,20200224
Afghanistan,1,20200306,1,0,Afghanistan,20200224
Afghanistan,1,20200307,1,0,Afghanistan,20200224
Afghanistan,4,20200308,1,0,Afghanistan,20200308
Afghanistan,4,20200309,4,0,Afghanistan,20200308
Afghanistan,5,20200310,4,0,Afghanistan,20200310
Afghanistan,7,20200311,5,0,Afghanistan,20200311
Afghanistan,7,20200312,7,0,Afghanistan,20200311
Afghanistan,7,20200313,7,0,Afghanistan,20200311
Afghanistan,11,20200314,7,0,Afghanistan,20200314
Afghanistan,16,20200315,11,0,Afghanistan,20200315
Afghanistan,21,20200316,16,0,Afghanistan,20200316
Afghanistan,22,20200317,21,0,Afghanistan,20200317
Afghanistan,22,20200318,22,0,Afghanistan,20200317
Afghanistan,22,20200319,22,0,Afghanistan,20200317
Afghanistan,24,20200320,22,0,Afghanistan,20200320
Afghanistan,24,20200321,24,0,Afghanistan,20200320
Afghanistan,40,20200322,24,0,Afghanistan,20200322
Afghanistan,40,20200323,40,0,Afghanistan,20200322
Afghanistan,74,20200324,40,0,Afghanistan,20200324
Afghanistan,84,20200325,74,0,Afghanistan,20200325
Afghanistan,94,20200326,84,0,Afghanistan,20200326
Afghanistan,110,20200327,94,0,Afghanistan,20200327
Afghanistan,110,20200328,110,0,Afghanistan,20200327
Afghanistan,120,20200329,110,0,Afghanistan,20200329
Afghanistan,170,20200330,120,0,Afghanistan,20200330
Afghanistan,174,20200331,170,0,Afghanistan,20200331
Afghanistan,237,20200401,174,0,Afghanistan,20200401
Afghanistan,273,20200402,237,0,Afghanistan,20200402
Afghanistan,281,20200403,273,0,Afghanistan,20200403
Afghanistan,299,20200404,281,0,Afghanistan,20200404
Afghanistan,349,20200405,299,0,Afghanistan,20200405
Afghanistan,367,20200406,349,0,Afghanistan,20200406
Afghanistan,423,20200407,367,0,Afghanistan,20200407
Afghanistan,444,20200408,423,0,Afghanistan,20200408
Afghanistan,484,20200409,444,0,Afghanistan,20200409
Afghanistan,521,20200410,484,0,Afghanistan,20200410
Afghanistan,555,20200411,521,0,Afghanistan,20200411
Afghanistan,607,20200412,555,0,Afghanistan,20200412
Afghanistan,665,20200413,607,0,Afghanistan,20200413
Afghanistan,714,20200414,665,0,Afghanistan,20200414
Afghanistan,784,20200415,714,0,Afghanistan,20200415
Afghanistan,840,20200416,784,0,Afghanistan,20200416
Afghanistan,906,20200417,840,0,Afghanistan,20200417
Afghanistan,933,20200418,906,0,Afghanistan,20200418
Afghanistan,996,20200419,933,0,Afghanistan,20200419
Afghanistan,1026,20200420,996,0,Afghanistan,20200420
Afghanistan,1092,20200421,1026,0,Afghanistan,20200421
Afghanistan,1176,20200422,1092,0,Afghanistan,20200422
Afghanistan,1279,20200423,1176,0,Afghanistan,20200423
Afghanistan,1351,20200424,1279,0,Afghanistan,20200424
Afghanistan,1463,20200425,1351,0,Afghanistan,20200425
Afghanistan,1531,20200426,1463,0,Afghanistan,20200426
Afghanistan,1703,20200427,1531,0,Afghanistan,20200427
Afghanistan,1828,20200428,1703,0,Afghanistan,20200428
Afghanistan,1939,20200429,1828,0,Afghanistan,20200429
Afghanistan,2171,20200430,1939,0,Afghanistan,20200430
Afghanistan,2335,20200501,2171,0,Afghanistan,20200501
Afghanistan,2469,20200502,2335,0,Afghanistan,20200502
Afghanistan,2704,20200503,2469,0,Afghanistan,20200503
Afghanistan,2894,20200504,2704,0,Afghanistan,20200504
Afghanistan,3224,20200505,2894,0,Afghanistan,20200505
Afghanistan,3392,20200506,3224,0,Afghanistan,20200506
Afghanistan,3563,20200507,3392,0,Afghanistan,20200507
Afghanistan,3778,20200508,3563,0,Afghanistan,20200508
Afghanistan,4033,20200509,3778,0,Afghanistan,20200509
Afghanistan,4402,20200510,4033,0,Afghanistan,20200510
Afghanistan,4687,20200511,4402,0,Afghanistan,20200511
Afghanistan,4963,20200512,4687,0,Afghanistan,20200512
Afghanistan,5226,20200513,4963,0,Afghanistan,20200513
Afghanistan,5639,20200514,5226,0,Afghanistan,20200514
Afghanistan,6053,20200515,5639,0,Afghanistan,20200515
Afghanistan,6402,20200516,6053,0,Afghanistan,20200516
Afghanistan,6664,20200517,6402,0,Afghanistan,20200517
Afghanistan,7072,20200518,6664,0,Afghanistan,20200518
Afghanistan,7653,20200519,7072,0,Afghanistan,20200519
Afghanistan,8145,20200520,7653,0,Afghanistan,20200520
Afghanistan,8676,20200521,8145,0,Afghanistan,20200521
Afghanistan,9216,20200522,8676,0,Afghanistan,20200522
Afghanistan,9998,20200523,9216,0,Afghanistan,20200523
Afghanistan,10582,20200524,9998,0,Afghanistan,20200524
Afghanistan,11173,20200525,10582,0,Afghanistan,20200525
Afghanistan,11831,20200526,11173,0,Afghanistan,20200526
Afghanistan,12456,20200527,11831,0,Afghanistan,20200527
Afghanistan,13036,20200528,12456,0,Afghanistan,20200528
Afghanistan,13659,20200529,13036,0,Afghanistan,20200529
Afghanistan,14525,20200530,13659,0,Afghanistan,20200530
Afghanistan,15205,20200531,14525,0,Afghanistan,20200531
Afghanistan,15750,20200601,15205,0,Afghanistan,20200601
Afghanistan,16509,20200602,15750,0,Afghanistan,20200602
Afghanistan,17267,20200603,16509,0,Afghanistan,20200603
Afghanistan,18054,20200604,17267,0,Afghanistan,20200604
Afghanistan,18969,20200605,18054,0,Afghanistan,20200605
Afghanistan,19551,20200606,18969,0,Afghanistan,20200606
Afghanistan,20342,20200607,19551,0,Afghanistan,20200607
Afghanistan,20917,20200608,20342,0,Afghanistan,20200608
Afghanistan,21459,20200609,20917,0,Afghanistan,20200609
Afghanistan,22142,20200610,21459,0,Afghanistan,20200610
Afghanistan,22890,20200611,22142,0,Afghanistan,20200611
Afghanistan,23546,20200612,22890,0,Afghanistan,20200612
Afghanistan,24102,20200613,23546,0,Afghanistan,20200613
Afghanistan,24766,20200614,24102,0,Afghanistan,20200614
Afghanistan,25527,20200615,24766,0,Afghanistan,20200615
Afghanistan,26310,20200616,25527,0,Afghanistan,20200616
Afghanistan,26874,20200617,26310,0,Afghanistan,20200617
Afghanistan,27532,20200618,26874,0,Afghanistan,20200618
Afghanistan,27878,20200619,27532,0,Afghanistan,20200619
Afghanistan,28424,20200620,27878,0,Afghanistan,20200620
Afghanistan,28833,20200621,28424,0,Afghanistan,20200621
Afghanistan,29157,20200622,28833,0,Afghanistan,20200622
Afghanistan,29481,20200623,29157,0,Afghanistan,20200623
Albania,2,20200309,0,0,Albania,20200309
Albania,10,20200310,2,0,Albania,20200310
Albania,12,20200311,10,0,Albania,20200311
Albania,23,20200312,12,0,Albania,20200312
Albania,33,20200313,23,0,Albania,20200313
Albania,38,20200314,33,0,Albania,20200314
Albania,42,20200315,38,0,Albania,20200315
Albania,51,20200316,42,0,Albania,20200316
Albania,55,20200317,51,0,Albania,20200317
Albania,59,20200318,55,0,Albania,20200318
Albania,64,20200319,59,0,Albania,20200319
