name,value,year,lastValue,rank,image,largeDate,country
AUS,3.500,1960,3.500,3,AUS,1960,AUS
AUS,3.500,1960.1,3.500,0,AUS,1960,AUS
AUS,3.500,1960.2,3.500,0,AUS,1960,AUS
AUS,3.500,1960.3,3.500,0,AUS,1960,AUS
AUS,3.500,1960.4,3.500,0,AUS,1960,AUS
AUS,3.500,1960.5,3.500,0,AUS,1960,AUS
AUS,3.500,1960.6,3.500,0,AUS,1960,AUS
AUS,3.500,1960.7,3.500,0,AUS,1960,AUS
AUS,3.500,1960.8,3.500,0,AUS,1960,AUS
AUS,3.500,1960.9,3.500,0,AUS,1960,AUS
AUS,3.500,1961,3.500,0,AUS,1960,AUS
AUS,3.490,1961.1,3.500,0,AUS,1960,AUS
AUS,3.480,1961.2,3.490,0,AUS,1960,AUS
AUS,3.470,1961.3,3.480,0,AUS,1960,AUS
AUS,3.460,1961.4,3.470,0,AUS,1960,AUS
AUS,3.450,1961.5,3.460,0,AUS,1960,AUS
AUS,3.440,1961.6,3.450,0,AUS,1960,AUS
AUS,3.430,1961.7,3.440,0,AUS,1960,AUS
AUS,3.420,1961.8,3.430,0,AUS,1960,AUS
AUS,3.410,1961.9,3.420,0,AUS,1960,AUS
AUS,3.400,1962,3.410,0,AUS,1960,AUS
AUS,3.390,1962.1,3.400,0,AUS,1960,AUS
AUS,3.380,1962.2,3.390,0,AUS,1960,AUS
AUS,3.370,1962.3,3.380,0,AUS,1960,AUS
AUS,3.360,1962.4,3.370,0,AUS,1960,AUS
AUS,3.350,1962.5,3.360,0,AUS,1960,AUS
AUS,3.340,1962.6,3.350,0,AUS,1960,AUS
AUS,3.330,1962.7,3.340,0,AUS,1960,AUS
AUS,3.320,1962.8,3.330,0,AUS,1960,AUS
AUS,3.310,1962.9,3.320,0,AUS,1960,AUS
AUS,3.300,1963,3.310,0,AUS,1960,AUS
AUS,3.290,1963.1,3.300,0,AUS,1960,AUS
AUS,3.280,1963.2,3.290,0,AUS,1960,AUS
AUS,3.270,1963.3,3.280,0,AUS,1960,AUS
AUS,3.260,1963.4,3.270,0,AUS,1960,AUS
AUS,3.250,1963.5,3.260,0,AUS,1960,AUS
AUS,3.240,1963.6,3.250,0,AUS,1960,AUS
AUS,3.230,1963.7,3.240,0,AUS,1960,AUS
AUS,3.220,1963.8,3.230,0,AUS,1960,AUS
AUS,3.210,1963.9,3.220,0,AUS,1960,AUS
AUS,3.200,1964,3.210,0,AUS,1960,AUS
AUS,3.180,1964.1,3.200,0,AUS,1960,AUS
AUS,3.160,1964.2,3.180,0,AUS,1960,AUS
AUS,3.140,1964.3,3.160,0,AUS,1960,AUS
AUS,3.120,1964.4,3.140,0,AUS,1960,AUS
AUS,3.100,1964.5,3.120,0,AUS,1960,AUS
AUS,3.080,1964.6,3.100,0,AUS,1960,AUS
AUS,3.060,1964.7,3.080,0,AUS,1960,AUS
AUS,3.040,1964.8,3.060,0,AUS,1960,AUS
AUS,3.020,1964.9,3.040,0,AUS,1960,AUS
AUS,3.000,1965,3.020,0,AUS,1960,AUS
AUS,2.990,1965.1,3.000,0,AUS,1960,AUS
AUS,2.980,1965.2,2.990,0,AUS,1960,AUS
AUS,2.970,1965.3,2.980,0,AUS,1960,AUS
AUS,2.960,1965.4,2.970,0,AUS,1960,AUS
AUS,2.950,1965.5,2.960,0,AUS,1960,AUS
AUS,2.940,1965.6,2.950,0,AUS,1960,AUS
AUS,2.930,1965.7,2.940,0,AUS,1960,AUS
AUS,2.920,1965.8,2.930,0,AUS,1960,AUS
AUS,2.910,1965.9,2.920,0,AUS,1960,AUS
AUS,2.900,1966,2.910,0,AUS,1960,AUS
AUS,2.890,1966.1,2.900,0,AUS,1960,AUS
AUS,2.880,1966.2,2.890,0,AUS,1960,AUS
AUS,2.870,1966.3,2.880,0,AUS,1960,AUS
AUS,2.860,1966.4,2.870,0,AUS,1960,AUS
AUS,2.850,1966.5,2.860,0,AUS,1960,AUS
AUS,2.840,1966.6,2.850,0,AUS,1960,AUS
AUS,2.830,1966.7,2.840,0,AUS,1960,AUS
AUS,2.820,1966.8,2.830,0,AUS,1960,AUS
AUS,2.810,1966.9,2.820,0,AUS,1960,AUS
AUS,2.800,1967,2.810,0,AUS,1960,AUS
AUS,2.810,1967.1,2.800,0,AUS,1960,AUS
AUS,2.820,1967.2,2.810,0,AUS,1960,AUS
AUS,2.830,1967.3,2.820,0,AUS,1960,AUS
AUS,2.840,1967.4,2.830,0,AUS,1960,AUS
AUS,2.850,1967.5,2.840,0,AUS,1960,AUS
AUS,2.860,1967.6,2.850,0,AUS,1960,AUS
AUS,2.870,1967.7,2.860,0,AUS,1960,AUS
AUS,2.880,1967.8,2.870,0,AUS,1960,AUS
AUS,2.890,1967.9,2.880,0,AUS,1960,AUS
AUS,2.900,1968,2.890,0,AUS,1960,AUS
AUS,2.900,1968.1,2.900,0,AUS,1960,AUS
AUS,2.900,1968.2,2.900,0,AUS,1960,AUS
AUS,2.900,1968.3,2.900,0,AUS,1960,AUS
AUS,2.900,1968.4,2.900,0,AUS,1960,AUS
AUS,2.900,1968.5,2.900,0,AUS,1960,AUS
AUS,2.900,1968.6,2.900,0,AUS,1960,AUS
AUS,2.900,1968.7,2.900,0,AUS,1960,AUS
AUS,2.900,1968.8,2.900,0,AUS,1960,AUS
AUS,2.900,1968.9,2.900,0,AUS,1960,AUS
AUS,2.900,1969,2.900,0,AUS,1960,AUS
AUS,2.900,1969.1,2.900,0,AUS,1960,AUS
AUS,2.900,1969.2,2.900,0,AUS,1960,AUS
AUS,2.900,1969.3,2.900,0,AUS,1960,AUS
AUS,2.900,1969.4,2.900,0,AUS,1960,AUS
AUS,2.900,1969.5,2.900,0,AUS,1960,AUS
AUS,2.900,1969.6,2.900,0,AUS,1960,AUS
AUS,2.900,1969.7,2.900,0,AUS,1960,AUS
AUS,2.900,1969.8,2.900,0,AUS,1960,AUS
AUS,2.900,1969.9,2.900,0,AUS,1960,AUS
AUS,2.900,1970,2.900,3,AUS,1960,AUS
AUS,2.900,1970.1,2.900,0,AUS,1960,AUS
AUS,2.900,1970.2,2.900,0,AUS,1960,AUS
AUS,2.900,1970.3,2.900,0,AUS,1960,AUS
AUS,2.900,1970.4,2.900,0,AUS,1960,AUS
AUS,2.900,1970.5,2.900,0,AUS,1960,AUS
AUS,2.900,1970.6,2.900,0,AUS,1960,AUS
AUS,2.900,1970.7,2.900,0,AUS,1960,AUS
AUS,2.900,1970.8,2.900,0,AUS,1960,AUS
AUS,2.900,1970.9,2.900,0,AUS,1960,AUS
AUS,2.900,1971,2.900,0,AUS,1960,AUS
AUS,2.880,1971.1,2.900,0,AUS,1960,AUS
AUS,2.860,1971.2,2.880,0,AUS,1960,AUS
AUS,2.840,1971.3,2.860,0,AUS,1960,AUS
AUS,2.820,1971.4,2.840,0,AUS,1960,AUS
