name,time,index,rank,value,lastValue,age
Jaws 2 (1978),1979-06-01,1,1,38575846.3600615,0,1
Every Which Way But Loose (1978),1979-06-01,1,2,38448939.2564359,0,1
Grease (1978),1979-06-01,1,3,34961838.3402462,0,1
King Kong  (1976),1979-06-01,1,4,30567045.7929452,0,1
The Deep (1977),1979-06-01,1,5,28714691.2383471,0,1
Exorcist II: The Heretic (1977),1979-06-01,1,6,28292343.4710744,0,1
Jaws (1975),1979-06-01,1,7,28111694.2446043,0,1
Star Wars (1977),1979-06-01,1,8,27768426.689374,0,1
Moonraker (1979),1979-06-01,1,9,25021764.694072,0,1
Superman (1978),1979-06-01,1,10,24463275.8767599,0,1
Rocky II (1979),1979-06-01,1,11,22495044.2863712,0,1
Alien (1979),1979-06-01,1,12,18701860.7459834,0,1
Star Trek: The Motion Picture (1979),1979-12-01,2,1,39415813.32,0,1
Jaws 2 (1978),1979-12-01,2,2,38575846.3600615,38575846.3600615,0.9
Every Which Way But Loose (1978),1979-12-01,2,3,38448939.2564359,38448939.2564359,0.9
Grease (1978),1979-12-01,2,4,34961838.3402462,34961838.3402462,0.9
King Kong  (1976),1979-12-01,2,5,30567045.7929452,30567045.7929452,0.9
The Deep (1977),1979-12-01,2,6,28714691.2383471,28714691.2383471,0.9
Exorcist II: The Heretic (1977),1979-12-01,2,7,28292343.4710744,28292343.4710744,0.9
Jaws (1975),1979-12-01,2,8,28111694.2446043,28111694.2446043,0.9
Star Wars (1977),1979-12-01,2,9,27768426.689374,27768426.689374,0.9
The Amityville Horror (1979),1979-12-01,2,10,25921995.4631469,0,1
Moonraker (1979),1979-12-01,2,11,25021764.694072,25021764.694072,0.9
Superman (1978),1979-12-01,2,12,24463275.8767599,24463275.8767599,0.9
Star Trek: The Motion Picture (1979),1980-06-01,3,1,39415813.32,39415813.32,0.9
Jaws 2 (1978),1980-06-01,3,2,38575846.3600615,38575846.3600615,0.8
Every Which Way But Loose (1978),1980-06-01,3,3,38448939.2564359,38448939.2564359,0.8
Grease (1978),1980-06-01,3,4,34961838.3402462,34961838.3402462,0.8
