name,value,year,lastValue,rank,image,largeDate
China,407873,1998,407873,22,China,1998
China,580700.7,1998.1,407873,0,China,1998.1
China,753528.4,1998.2,580700.7,0,China,1998.2
China,926356.1,1998.3,753528.4,0,China,1998.3
China,1099183.8,1998.4,926356.1,0,China,1998.4
China,1272011.5,1998.5,1099183.8,0,China,1998.5
China,1444839.2,1998.6,1272011.5,0,China,1998.6
China,1617666.9,1998.7,1444839.2,0,China,1998.7
China,1790494.6,1998.8,1617666.9,0,China,1998.8
China,1963322.3,1998.9,1790494.6,0,China,1998.9
China,2136150,1999,1963322.3,13,China,1999
China,2825762.7,1999.1,2136150,0,China,1999.1
China,3515375.4,1999.2,2825762.7,0,China,1999.2
China,4204988.1,1999.3,3515375.4,0,China,1999.3
China,4894600.8,1999.4,4204988.1,0,China,1999.4
China,5584213.5,1999.5,4894600.8,0,China,1999.5
China,6273826.2,1999.6,5584213.5,0,China,1999.6
China,6963438.9,1999.7,6273826.2,0,China,1999.7
China,7653051.6,1999.8,6963438.9,0,China,1999.8
China,8342664.3,1999.9,7653051.6,0,China,1999.9
China,9032277,2000,8342664.3,7,China,2000
China,10407899.3,2000.1,9032277,0,China,2000.1
China,11783521.6,2000.2,10407899.3,0,China,2000.2
China,13159143.9,2000.3,11783521.6,0,China,2000.3
China,14534766.2,2000.4,13159143.9,0,China,2000.4
China,15910388.5,2000.5,14534766.2,0,China,2000.5
China,17286010.8,2000.6,15910388.5,0,China,2000.6
China,18661633.1,2000.7,17286010.8,0,China,2000.7
China,20037255.4,2000.8,18661633.1,0,China,2000.8
China,21412877.7,2000.9,20037255.4,0,China,2000.9
China,22788500,2001,21412877.7,4,China,2001
China,23917274,2001.1,22788500,0,China,2001.1
China,25046048,2001.2,23917274,0,China,2001.2
China,26174822,2001.3,25046048,0,China,2001.3
China,27303596,2001.4,26174822,0,China,2001.4
China,28432370,2001.5,27303596,0,China,2001.5
China,29561144,2001.6,28432370,0,China,2001.6
China,30689918,2001.7,29561144,0,China,2001.7
China,31818692,2001.8,30689918,0,China,2001.8
China,32947466,2001.9,31818692,0,China,2001.9
China,34076240,2002,32947466,3,China,2002
China,36636811.6,2002.1,34076240,0,China,2002.1
China,39197383.2,2002.2,36636811.6,0,China,2002.2
China,41757954.8,2002.3,39197383.2,0,China,2002.3
China,44318526.4,2002.4,41757954.8,0,China,2002.4
China,46879098,2002.5,44318526.4,0,China,2002.5
China,49439669.6,2002.6,46879098,0,China,2002.6
China,52000241.2,2002.7,49439669.6,0,China,2002.7
China,54560812.8,2002.8,52000241.2,0,China,2002.8
China,57121384.4,2002.9,54560812.8,0,China,2002.9
China,59681956,2003,57121384.4,2,China,2003
China,61813092.4,2003.1,59681956,0,China,2003.1
China,63944228.8,2003.2,61813092.4,0,China,2003.2
China,66075365.2,2003.3,63944228.8,0,China,2003.3
China,68206501.6,2003.4,66075365.2,0,China,2003.4
China,70337638,2003.5,68206501.6,0,China,2003.5
China,72468774.4,2003.6,70337638,0,China,2003.6
China,74599910.8,2003.7,72468774.4,0,China,2003.7
China,76731047.2,2003.8,74599910.8,0,China,2003.8
China,78862183.6,2003.9,76731047.2,0,China,2003.9
China,80993320,2004,78862183.6,2,China,2004
China,82486242.4,2004.1,80993320,0,China,2004.1
China,83979164.8,2004.2,82486242.4,0,China,2004.2
China,85472087.2,2004.3,83979164.8,0,China,2004.3
China,86965009.6,2004.4,85472087.2,0,China,2004.4
China,88457932,2004.5,86965009.6,0,China,2004.5
China,89950854.4,2004.6,88457932,0,China,2004.6
China,91443776.8,2004.7,89950854.4,0,China,2004.7
China,92936699.2,2004.8,91443776.8,0,China,2004.8
China,94429621.6,2004.9,92936699.2,0,China,2004.9
China,95922544,2005,94429621.6,2,China,2005
China,97594826.4,2005.1,95922544,0,China,2005.1
China,99267108.8,2005.2,97594826.4,0,China,2005.2
China,100939391.2,2005.3,99267108.8,0,China,2005.3
China,102611673.6,2005.4,100939391.2,0,China,2005.4
