name,value,year,lastValue,rank,image,largeDate
China,407873.000,1998,407873.000,22,China,1998
China,580700.700,1998.1,407873.000,0,China,1998.1
China,753528.400,1998.2,580700.700,0,China,1998.2
China,926356.100,1998.3,753528.400,0,China,1998.3
China,1099183.800,1998.4,926356.100,0,China,1998.4
China,1272011.500,1998.5,1099183.800,0,China,1998.5
China,1444839.200,1998.6,1272011.500,0,China,1998.6
China,1617666.900,1998.7,1444839.200,0,China,1998.7
China,1790494.600,1998.8,1617666.900,0,China,1998.8
China,1963322.300,1998.9,1790494.600,0,China,1998.9
China,2136150.000,1999,1963322.300,13,China,1999
China,2825762.700,1999.1,2136150.000,0,China,1999.1
China,3515375.400,1999.2,2825762.700,0,China,1999.2
China,4204988.100,1999.3,3515375.400,0,China,1999.3
China,4894600.800,1999.4,4204988.100,0,China,1999.4
China,5584213.500,1999.5,4894600.800,0,China,1999.5
China,6273826.200,1999.6,5584213.500,0,China,1999.6
China,6963438.900,1999.7,6273826.200,0,China,1999.7
China,7653051.600,1999.8,6963438.900,0,China,1999.8
China,8342664.300,1999.9,7653051.600,0,China,1999.9
China,9032277.000,2000,8342664.300,7,China,2000
China,10407899.300,2000.1,9032277.000,0,China,2000.1
China,11783521.600,2000.2,10407899.300,0,China,2000.2
China,13159143.900,2000.3,11783521.600,0,China,2000.3
China,14534766.200,2000.4,13159143.900,0,China,2000.4
China,15910388.500,2000.5,14534766.200,0,China,2000.5
China,17286010.800,2000.6,15910388.500,0,China,2000.6
China,18661633.100,2000.7,17286010.800,0,China,2000.7
China,20037255.400,2000.8,18661633.100,0,China,2000.8
China,21412877.700,2000.9,20037255.400,0,China,2000.9
China,22788500.000,2001,21412877.700,4,China,2001
China,23917274.000,2001.1,22788500.000,0,China,2001.1
China,25046048.000,2001.2,23917274.000,0,China,2001.2
China,26174822.000,2001.3,25046048.000,0,China,2001.3
China,27303596.000,2001.4,26174822.000,0,China,2001.4
China,28432370.000,2001.5,27303596.000,0,China,2001.5
China,29561144.000,2001.6,28432370.000,0,China,2001.6
China,30689918.000,2001.7,29561144.000,0,China,2001.7
China,31818692.000,2001.8,30689918.000,0,China,2001.8
China,32947466.000,2001.9,31818692.000,0,China,2001.9
China,34076240.000,2002,32947466.000,3,China,2002
China,36636811.600,2002.1,34076240.000,0,China,2002.1
China,39197383.200,2002.2,36636811.600,0,China,2002.2
China,41757954.800,2002.3,39197383.200,0,China,2002.3
China,44318526.400,2002.4,41757954.800,0,China,2002.4
China,46879098.000,2002.5,44318526.400,0,China,2002.5
China,49439669.600,2002.6,46879098.000,0,China,2002.6
China,52000241.200,2002.7,49439669.600,0,China,2002.7
China,54560812.800,2002.8,52000241.200,0,China,2002.8
