name,value,year,lastValue,rank,image,largeDate
Greg Norman,8.5, 1990.00,8.5,76,null, 1990.00
Buster Douglas,26.0, 1990.00,26.0,81,null, 1990.00
Donovan Razor Ruddock,0.0, 1990.00,0.0,2,null,
Donovan Razor Ruddock,10.2, 1991.00,0.0,76,null, 1991.00
Monica Seles,0.0, 1990.00,0.0,7,null,
Monica Seles,0.0, 1991.00,0.0,6,null,
Monica Seles,8.5, 1992.00,0.0,73,null, 1992.00
Joe Montana,0.0, 1990.00,0.0,5,null,
Joe Montana,0.0, 1991.00,0.0,4,null,
Joe Montana,9.5, 1992.00,0.0,76,null, 1992.00
Joe Montana,11.5, 1993.00,9.5,73,null, 1993.00
Jim Courier,0.0, 1990.00,0.0,6,null,
Jim Courier,0.0, 1991.00,0.0,5,null,
Jim Courier,9.0, 1992.00,0.0,74,null, 1992.00
Jim Courier,12.6, 1993.00,9.0,74,null, 1993.00
Cecil Fielder,0.0, 1990.00,0.0,11,null,
Cecil Fielder,0.0, 1991.00,0.0,10,null,
Cecil Fielder,0.0, 1992.00,0.0,7,null,
Cecil Fielder,12.7, 1993.00,0.0,75,null, 1993.00
Alain Prost,9.0, 1990.00,9.0,78,null, 1990.00
Alain Prost,11.0, 1991.00,9.0,77,null, 1991.00
Alain Prost,0.0, 1992.00,11.0,70,null, 1991.00
Alain Prost,16.0, 1993.00,0.0,79,null, 1993.00
Ayrton Senna,10.0, 1990.00,10.0,79,null, 1990.00
Ayrton Senna,13.0, 1991.00,10.0,78,null, 1991.00
Ayrton Senna,22.0, 1992.00,13.0,80,null, 1992.00
Ayrton Senna,18.5, 1993.00,22.0,80,null, 1992.00
Nigel Mansell,0.0, 1990.00,0.0,3,null,
Nigel Mansell,9.0, 1991.00,0.0,74,null, 1991.00
Nigel Mansell,14.5, 1992.00,9.0,79,null, 1992.00
Nigel Mansell,0.0, 1993.00,14.5,71,null, 1992.00
Nigel Mansell,11.3, 1994.00,0.0,73,null, 1992.00
Michael Moorer,0.0, 1990.00,0.0,15,null,
Michael Moorer,0.0, 1991.00,0.0,14,null,
Michael Moorer,0.0, 1992.00,0.0,11,null,
Michael Moorer,0.0, 1993.00,0.0,8,null,
Michael Moorer,12.1, 1994.00,0.0,76,null, 1994.00
Gerhard Berger,0.0, 1990.00,0.0,13,null,
Gerhard Berger,0.0, 1991.00,0.0,12,null,
Gerhard Berger,0.0, 1992.00,0.0,9,null,
Gerhard Berger,0.0, 1993.00,0.0,6,null,
Gerhard Berger,13.5, 1994.00,0.0,77,null, 1994.00
Jack Nicklaus,8.6, 1990.00,8.6,77,null, 1990.00
Jack Nicklaus,0.0, 1991.00,8.6,72,null, 1990.00
Jack Nicklaus,0.0, 1992.00,0.0,69,null, 1990.00
Jack Nicklaus,0.0, 1993.00,0.0,66,null, 1990.00
Jack Nicklaus,14.8, 1994.00,0.0,80,null, 1994.00
Wayne Gretzky,0.0, 1990.00,0.0,14,null,
Wayne Gretzky,0.0, 1991.00,0.0,13,null,
Wayne Gretzky,0.0, 1992.00,0.0,10,null,
Wayne Gretzky,0.0, 1993.00,0.0,7,null,
Wayne Gretzky,13.5, 1994.00,0.0,78,null, 1994.00
Wayne Gretzky,14.5, 1995.00,13.5,73,null, 1995.00
Sugar Ray Leonard,13.0, 1990.00,13.0,80,null, 1990.00
Sugar Ray Leonard,8.5, 1991.00,13.0,73,null, 1990.00
Sugar Ray Leonard,9.2, 1992.00,8.5,75,null, 1990.00
Sugar Ray Leonard,0.0, 1993.00,9.2,68,null, 1990.00
Sugar Ray Leonard,0.0, 1994.00,0.0,68,null, 1990.00
Sugar Ray Leonard,15.1, 1995.00,0.0,75,null, 1995.00
George Foreman,0.0, 1990.00,0.0,1,null,
George Foreman,14.5, 1991.00,0.0,79,null, 1991.00
George Foreman,0.0, 1992.00,14.5,71,null, 1991.00
George Foreman,15.8, 1993.00,0.0,78,null, 1993.00
George Foreman,0.0, 1994.00,15.8,71,null, 1993.00
George Foreman,18.0, 1995.00,0.0,77,null, 1995.00
Riddick Bowe,0.0, 1990.00,0.0,8,null,
Riddick Bowe,0.0, 1991.00,0.0,7,null,
Riddick Bowe,0.0, 1992.00,0.0,4,null,
Riddick Bowe,25.0, 1993.00,0.0,81,null, 1993.00
Riddick Bowe,0.0, 1994.00,25.0,72,null, 1993.00
Riddick Bowe,22.2, 1995.00,0.0,79,null, 1993.00
Deion Sanders,0.0, 1990.00,0.0,16,null,
Deion Sanders,0.0, 1991.00,0.0,15,null,
Deion Sanders,0.0, 1992.00,0.0,12,null,
Deion Sanders,0.0, 1993.00,0.0,9,null,
Deion Sanders,0.0, 1994.00,0.0,10,null,
Deion Sanders,22.5, 1995.00,0.0,80,null, 1995.00
Dennis Rodman,0.0, 1990.00,0.0,19,null,
Dennis Rodman,0.0, 1991.00,0.0,18,null,
Dennis Rodman,0.0, 1992.00,0.0,15,null,
Dennis Rodman,0.0, 1993.00,0.0,12,null,
Dennis Rodman,0.0, 1994.00,0.0,13,null,
Dennis Rodman,0.0, 1995.00,0.0,15,null,
Dennis Rodman,12.9, 1996.00,0.0,73,null, 1996.00
Emmit Smith,0.0, 1990.00,0.0,18,null,
Emmit Smith,0.0, 1991.00,0.0,17,null,
Emmit Smith,0.0, 1992.00,0.0,14,null,
Emmit Smith,0.0, 1993.00,0.0,11,null,
Emmit Smith,0.0, 1994.00,0.0,12,null,
Emmit Smith,0.0, 1995.00,0.0,14,null,
Emmit Smith,16.5, 1996.00,0.0,78,null, 1996.00
Joe Sakic,0.0, 1990.00,0.0,24,null,
Joe Sakic,0.0, 1991.00,0.0,23,null,
Joe Sakic,0.0, 1992.00,0.0,20,null,
Joe Sakic,0.0, 1993.00,0.0,17,null,
Joe Sakic,0.0, 1994.00,0.0,18,null,
Joe Sakic,0.0, 1995.00,0.0,20,null,
Joe Sakic,0.0, 1996.00,0.0,22,null,
Joe Sakic,17.9, 1997.00,0.0,74,null, 1997.00
Gary Sheffield,0.0, 1990.00,0.0,27,null,
Gary Sheffield,0.0, 1991.00,0.0,26,null,
Gary Sheffield,0.0, 1992.00,0.0,23,null,
Gary Sheffield,0.0, 1993.00,0.0,20,null,
Gary Sheffield,0.0, 1994.00,0.0,21,null,
Gary Sheffield,0.0, 1995.00,0.0,23,null,
Gary Sheffield,0.0, 1996.00,0.0,25,null,
Gary Sheffield,0.0, 1997.00,0.0,22,null,
Gary Sheffield,17.2, 1998.00,0.0,73,null, 1998.00
Arnold Palmer,8.1, 1990.00,8.1,74,null, 1990.00
Arnold Palmer,9.3, 1991.00,8.1,75,null, 1991.00
Arnold Palmer,11.1, 1992.00,9.3,78,null, 1992.00
Arnold Palmer,0.0, 1993.00,11.1,70,null, 1992.00
Arnold Palmer,13.6, 1994.00,0.0,79,null, 1994.00
Arnold Palmer,0.0, 1995.00,13.6,71,null, 1994.00
Arnold Palmer,15.1, 1996.00,0.0,75,null, 1996.00
Arnold Palmer,0.0, 1997.00,15.1,71,null, 1996.00
Arnold Palmer,18.1, 1998.00,0.0,74,null, 1998.00
Patrick Ewing,0.0, 1990.00,0.0,20,null,
Patrick Ewing,0.0, 1991.00,0.0,19,null,
Patrick Ewing,0.0, 1992.00,0.0,16,null,
Patrick Ewing,0.0, 1993.00,0.0,13,null,
Patrick Ewing,0.0, 1994.00,0.0,14,null,
Patrick Ewing,0.0, 1995.00,0.0,16,null,
Patrick Ewing,12.9, 1996.00,0.0,74,null, 1996.00
Patrick Ewing,0.0, 1997.00,12.9,70,null, 1996.00
Patrick Ewing,18.3, 1998.00,0.0,75,null, 1998.00
Sergei Federov,0.0, 1990.00,0.0,26,null,
Sergei Federov,0.0, 1991.00,0.0,25,null,
Sergei Federov,0.0, 1992.00,0.0,22,null,
Sergei Federov,0.0, 1993.00,0.0,19,null,
Sergei Federov,0.0, 1994.00,0.0,20,null,
Sergei Federov,0.0, 1995.00,0.0,22,null,
Sergei Federov,0.0, 1996.00,0.0,24,null,
