,,02/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
nigahiga,null,3272601,3553009,3705036,3900824,4003034,4170976,4319654,4493591,4626347,4756868,4937384,5014872,5123796,5240415,5296077,5271081,5343887,5446062,5672595,5838115,6268544,6438551,6530021,6919138,7211818,7709737,7709737,8704374,9049255,9657659,10224153,10380761,10752493,10876116,11380058,11695700,11864169,12053779,12191060,12374445,12470171,12666402,12906584,13027081,13190658,13364575,13534598,13704281,13896720,14089610,14347335,14548210,14873726,14949361,15175400,15340528,15514250,15748289,15970558,16218556,16425664,16697851,16943533,17146382,17438351,17816946,18069502,18363830,18638624,18803693,19015524,19129334,19291461,19588298,19648972,19754688,19847231,19864858,19864858,19864858,19864858,19864858,20482880,20513329,20630514,20667828,21005995,21185525,21244677,21249789,21302923,21307364,21297090,21278916,21302312,21306742,21311053,21337736,21355357,21355137,21389006,21400013,21407602,,,
RayWilliamJohnson,null,2961559,3407051,3650062,3906765,4097357,4366702,4563460,4765365,4959082,5121711,5216531,5179010,5268467,5396031,5442512,5441175,5522917,5655005,5845453,5966218,6373914,6554797,6664350,7248444,7618271,8194965,8194965,9135257,9437776,9933501,10304117,10318226,10480834,10511281,10659805,10723589,10780170,10794571,10747088,10709040,10625180,10684819,10728128,10754217,10809452,10824873,10827390,10820490,10805440,10804084,10802612,10800637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaneDawsonTV,null,2309510,2448889,2513478,2580710,2617355,2693908,2760750,2812851,2857664,2892849,2924264,2858794,2882988,2919069,2931409,2766932,2790117,2821723,2878460,2936079,3060411,3122752,3154992,3327341,3430080,3597748,3597748,4066873,4214145,4563848,4892366,4994780,,,5491028,5596422,5668844,5737802,5783663,5873569,5937145,6040684,6150844,6194819,6230516,6258203,6316981,6370126,6430502,6482450,6553394,6643637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smosh,null,2216782,2400355,2556774,2770244,2904943,3087091,3257166,3436041,3609729,3811469,4039605,4233039,4369230,4593436,4697619,4917210,5015683,5166915,5394768,5586436,6217047,6470496,6623826,7480475,8004609,8884723,8884723,10412736,10888634,11710453,12436421,12699696,13742134,14073981,15320700,16320604,17021410,17359814,17598211,17911374,18094730,18445978,18801249,18975677,19187620,19316669,19518398,19722380,19915094,20104994,20390190,20584040,20915631,20986519,21126238,21237633,21416343,21601291,21728022,21815798,21889372,21975338,22044261,22103233,22189198,22317630,22393626,22420765,22464268,22474191,22537191,22549547,22561633,22647067,22664748,22710392,22722833,22724493,22724493,22724493,22724493,22724493,22858557,22887153,22953104,22968571,23088159,23350986,23518828,23562554,23661853,23695650,23772484,23800418,23921526,24037454,24148215,24224826,24417674,24452389,24559095,24659558,24760783,248000000,249000000,25000000
Fred,null,2148279,2205953,2233997,2259643,2274580,2296341,2313971,2329391,2344038,2355250,2359335,2257760,2262325,2189010,2184270,1903949,1906756,1913453,1928540,1938663,1971878,1986168,1992374,2016814,2048991,2086794,2086794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machinima,null,1885166,2325164,2568416,2715087,2852507,3068908,3239346,3438100,3647739,3818096,4013132,4100835,4195665,4360912,4446173,4585138,4642132,4709585,4828430,4952490,5323364,5476958,5581349,6179434,6548541,7064458,7064458,8039234,8325452,8813968,9357074,9593336,10036765,10124773,10441097,10701823,10897193,11077608,11195855,11435381,11498188,11633401,11793086,11904349,12035165,12109779,12192416,12258519,12315190,12370037,12437898,12479269,12558728,12568294,12623537,12649918,12682134,12714043,12729452,12738538,12740589,12742341,12749452,12788220,12719597,12710046,12702655,12695196,12684636,12670259,12657778,12647344,12631233,12608971,12603336,12603543,12600980,12605114,12605114,12605114,12605114,12605114,12574413,12572702,,,,,,,,,,,,,,,,,,,,,,
MysteryGuitarMan,null,1740513,1830781,1884557,1938354,1976497,2023289,2066387,2119788,2163456,2190442,2199731,2134769,2138792,2141730,2145377,2055565,2059605,2066708,2082029,2095574,2120623,2138405,2145258,2256087,2315333,2428562,2428562,2604107,,2695297,2720979,2736080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
realannoyingorange,null,1659765,1803780,1876007,1948630,1993007,2058718,2104087,2144888,2191286,2230670,2287197,2306010,2348285,2422876,2451178,2459198,2475947,2494317,2513754,2541880,2611250,2640542,2660710,2737048,2773766,2882568,2882568,3104372,3163226,3251126,3312006,3340531,,,3537989,3602829,3655498,3697899,3730927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collegehumor,null,1635825,1795933,1897761,1978030,2036014,2119040,2178100,2256669,2344031,2456120,2596157,2661621,2703740,2774880,2801755,2809266,2821484,2849176,2903419,2978697,3292988,3390584,3444659,3713598,3872853,4143910,4143910,4595950,4712532,4888172,5074291,5175264,5433490,5478119,5663587,5843010,6111923,6634272,6948493,7191512,7296234,7570003,7834714,8045144,8332716,8532339,8728041,8985941,9170694,9366872,9580805,9658718,9787807,9813459,9871327,9926902,10093442,10220523,10384881,10531798,10636461,10711179,10794439,10838369,10872133,10905773,10987959,11181768,11290254,11363451,11428764,11456283,11515025,11708196,11740692,11792641,11833713,11846448,11846448,11846448,11846448,11846448,12528227,12585787,,,,,,,,,,,,,,,,,,,,,,
ShaneDawsonTV2,null,1617940,1698049,1735269,1775614,1800173,1844611,1888991,1921299,1944337,1961864,1974127,1923140,1930095,1934688,1935661,1797500,1800861,1817480,1850989,1877582,1910889,1927482,1936691,1984471,2011844,2048701,2048701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
