name,value,year,lastValue,rank,image,largeDate
ninja,0, 2014.04,0,212,ninja,
ninja,0, 2014.05,0,207,ninja,
ninja,0, 2014.06,0,203,ninja,
ninja,0, 2014.07,0,199,ninja,
ninja,0, 2014.08,0,190,ninja,
ninja,0, 2014.09,0,188,ninja,
ninja,0, 2014.10,0,183,ninja,
ninja,0, 2014.11,0,179,ninja,
ninja,0, 2015.00,0,175,ninja,
ninja,0, 2015.01,0,171,ninja,
ninja,0, 2015.02,0,171,ninja,
ninja,0, 2015.03,0,167,ninja,
ninja,0, 2015.04,0,165,ninja,
ninja,0, 2015.05,0,161,ninja,
ninja,0, 2015.06,0,159,ninja,
ninja,0, 2015.07,0,158,ninja,
ninja,0, 2015.08,0,155,ninja,
ninja,0, 2015.09,0,154,ninja,
ninja,0, 2015.10,0,152,ninja,
ninja,0, 2015.11,0,150,ninja,
ninja,0, 2016.00,0,149,ninja,
ninja,0, 2016.01,0,147,ninja,
ninja,0, 2016.02,0,146,ninja,
ninja,0, 2016.03,0,144,ninja,
ninja,0, 2016.04,0,143,ninja,
ninja,0, 2016.05,0,141,ninja,
ninja,0, 2016.06,0,140,ninja,
ninja,0, 2016.07,0,140,ninja,
ninja,0, 2016.08,0,139,ninja,
ninja,0, 2016.09,0,138,ninja,
ninja,0, 2016.10,0,138,ninja,
ninja,0, 2016.11,0,135,ninja,
ninja,0, 2017.00,0,134,ninja,
ninja,0, 2017.01,0,130,ninja,
ninja,0, 2017.02,0,127,ninja,
ninja,0, 2017.03,0,125,ninja,
ninja,0, 2017.04,0,122,ninja,
ninja,0, 2017.05,0,110,ninja,
ninja,0, 2017.06,0,107,ninja,
ninja,0, 2017.07,0,103,ninja,
ninja,0, 2017.08,0,103,ninja,
ninja,567015, 2017.09,0,99,ninja,
ninja,628909, 2017.10,567015,93,ninja,
ninja,731593, 2017.11,628909,74,ninja,
ninja,885468, 2018.00,731593,51,ninja,
ninja,1504325, 2018.01,885468,13,ninja,
ninja,2903620, 2018.02,1504325,2,ninja,
ninja,5107445, 2018.03,2903620,1,ninja,
ninja,6583548, 2018.04,5107445,1,ninja,
ninja,7920541, 2018.05,6583548,1,ninja,
ninja,9159137, 2018.06,7920541,1,ninja,
ninja,10411330, 2018.07,9159137,1,ninja,
ninja,11063036, 2018.08,10411330,1,ninja,
ninja,11567496, 2018.09,11063036,1,ninja,
ninja,12092026, 2018.10,11567496,1,ninja,
ninja,12435671, 2018.11,12092026,1,ninja,
ninja,12830300, 2019.00,12435671,1,ninja,
ninja,13293441, 2019.01,12830300,1,ninja,
ninja,13587884, 2019.02,13293441,1,ninja,
ninja,13871816, 2019.03,13587884,1,ninja,
ninja,14105101, 2019.04,13871816,1,ninja,
ninja,14380922, 2019.05,14105101,1,ninja,
ninja,14594813, 2019.06,14380922,1,ninja,
ninja,14716003, 2019.07,14594813,1,ninja,
ninja,14703884, 2019.08,14716003,1,ninja,
ninja,14691395, 2019.09,14703884,1,ninja,
ninja,14673241, 2019.10,14691395,1,ninja,
ninja,14655385, 2019.11,14673241,1,ninja,
ninja,14699558, 2020.00,14655385,1,ninja,
ninja,14689312, 2020.01,14699558,1,ninja,
ninja,14712332, 2020.02,14689312,1,ninja,
tfue,0, 2014.04,0,236,tfue,
tfue,0, 2014.05,0,231,tfue,
tfue,0, 2014.06,0,227,tfue,
tfue,0, 2014.07,0,223,tfue,
tfue,0, 2014.08,0,214,tfue,
tfue,0, 2014.09,0,212,tfue,
