name,value,year,lastValue,rank,image,largeDate
ninja,0, 2014.04,0,214,ninja,
ninja,0, 2014.05,0,209,ninja,
ninja,0, 2014.06,0,205,ninja,
ninja,0, 2014.07,0,201,ninja,
ninja,0, 2014.08,0,192,ninja,
ninja,0, 2014.09,0,190,ninja,
ninja,0, 2014.10,0,185,ninja,
ninja,0, 2015.01,0,173,ninja,
ninja,0, 2015.02,0,173,ninja,
ninja,0, 2015.03,0,169,ninja,
ninja,0, 2015.04,0,167,ninja,
ninja,0, 2015.05,0,163,ninja,
ninja,0, 2015.06,0,161,ninja,
ninja,0, 2015.07,0,160,ninja,
ninja,0, 2015.08,0,157,ninja,
ninja,0, 2015.09,0,156,ninja,
ninja,0, 2015.10,0,154,ninja,
ninja,0, 2015.11,0,151,ninja,
ninja,0, 2016.00,0,150,ninja,
ninja,0, 2016.01,0,148,ninja,
ninja,0, 2016.02,0,147,ninja,
ninja,0, 2016.03,0,145,ninja,
ninja,0, 2016.04,0,144,ninja,
ninja,0, 2016.05,0,142,ninja,
ninja,0, 2016.06,0,141,ninja,
ninja,0, 2016.07,0,141,ninja,
ninja,0, 2016.08,0,140,ninja,
ninja,0, 2016.09,0,139,ninja,
ninja,0, 2016.10,0,139,ninja,
ninja,0, 2016.11,0,136,ninja,
ninja,0, 2017.00,0,135,ninja,
ninja,0, 2017.01,0,131,ninja,
ninja,0, 2017.02,0,128,ninja,
ninja,0, 2017.03,0,126,ninja,
ninja,0, 2017.04,0,123,ninja,
ninja,0, 2017.05,0,111,ninja,
ninja,0, 2017.06,0,108,ninja,
ninja,0, 2017.07,0,104,ninja,
ninja,0, 2017.08,0,104,ninja,
ninja,567015, 2017.09,0,100,ninja,
ninja,628909, 2017.10,567015,94,ninja,
ninja,731593, 2017.11,628909,75,ninja,
ninja,885468, 2018.00,731593,52,ninja,
ninja,1504325, 2018.01,885468,14,ninja,
ninja,2903620, 2018.02,1504325,2,ninja,
ninja,5107445, 2018.03,2903620,1,ninja,
ninja,6583548, 2018.04,5107445,1,ninja,
ninja,7920541, 2018.05,6583548,1,ninja,
ninja,10411330, 2018.07,7920541,1,ninja,
ninja,11063036, 2018.08,10411330,1,ninja,
ninja,11567496, 2018.09,11063036,1,ninja,
ninja,12092026, 2018.10,11567496,1,ninja,
ninja,12435671, 2018.11,12092026,1,ninja,
ninja,12830300, 2019.00,12435671,1,ninja,
ninja,13293441, 2019.01,12830300,1,ninja,
ninja,13587884, 2019.02,13293441,1,ninja,
ninja,13871816, 2019.03,13587884,1,ninja,
ninja,14105101, 2019.04,13871816,1,ninja,
ninja,14380922, 2019.05,14105101,1,ninja,
ninja,14594813, 2019.06,14380922,1,ninja,
ninja,14716003, 2019.07,14594813,1,ninja,
ninja,14703884, 2019.08,14716003,1,ninja,
ninja,14691395, 2019.09,14703884,1,ninja,
ninja,14673241, 2019.10,14691395,1,ninja,
