name,value,year,lastValue,rank,image,largeDate
xqcow,0, 2017.02,0,85,xqcow,
xqcow,0, 2017.03,0,85,xqcow,
xqcow,0, 2017.04,0,83,xqcow,
xqcow,0, 2017.05,0,81,xqcow,
xqcow,0, 2017.06,0,80,xqcow,
xqcow,0, 2017.07,0,78,xqcow,
xqcow,0, 2017.08,0,78,xqcow,
xqcow,0, 2017.09,0,75,xqcow,
xqcow,0, 2017.10,0,73,xqcow,
xqcow,0, 2017.11,0,69,xqcow,
xqcow,0, 2018.00,0,68,xqcow,
xqcow,0, 2018.01,0,67,xqcow,
xqcow,6773, 2018.02,0,28,xqcow,
xqcow,10000, 2018.03,6773,17,xqcow,
xqcow,4287, 2018.04,10000,19,xqcow,
xqcow,8151, 2018.05,4287,21,xqcow,
xqcow,13978, 2018.06,8151,14,xqcow,
xqcow,18178, 2018.07,13978,11,xqcow,
xqcow,7970, 2018.08,18178,11,xqcow,
xqcow,14640, 2018.09,7970,12,xqcow,
xqcow,7949, 2018.10,14640,8,xqcow,
xqcow,23115, 2018.11,7949,11,xqcow,
xqcow,25416, 2019.00,23115,9,xqcow,
xqcow,33246, 2019.01,25416,7,xqcow,
xqcow,23258, 2019.02,33246,11,xqcow,
xqcow,22064, 2019.03,23258,8,xqcow,
xqcow,24409, 2019.04,22064,10,xqcow,
xqcow,25114, 2019.05,24409,6,xqcow,
xqcow,28019, 2019.06,25114,6,xqcow,
xqcow,28882, 2019.07,28019,5,xqcow,
xqcow,29095, 2019.08,28882,2,xqcow,
xqcow,26297, 2019.09,29095,3,xqcow,
xqcow,32580, 2019.10,26297,1,xqcow,
xqcow,38784, 2019.11,32580,1,xqcow,
xqcow,34598, 2020.00,38784,1,xqcow,
xqcow,34254, 2020.01,34598,1,xqcow,
summit1g,12387, 2017.02,12387,2,summit1g,
summit1g,20366, 2017.03,12387,2,summit1g,
summit1g,20422, 2017.04,20366,2,summit1g,
summit1g,17887, 2017.05,20422,4,summit1g,
summit1g,20456, 2017.06,17887,3,summit1g,
summit1g,17596, 2017.07,20456,4,summit1g,
summit1g,21493, 2017.08,17596,5,summit1g,
summit1g,19882, 2017.09,21493,5,summit1g,
summit1g,16533, 2017.10,19882,7,summit1g,
summit1g,20300, 2017.11,16533,3,summit1g,
summit1g,24564, 2018.00,20300,5,summit1g,
summit1g,16249, 2018.01,24564,8,summit1g,
summit1g,27685, 2018.02,16249,7,summit1g,
summit1g,16145, 2018.03,27685,12,summit1g,
summit1g,8145, 2018.04,16145,11,summit1g,
summit1g,13673, 2018.05,8145,12,summit1g,
summit1g,15697, 2018.06,13673,10,summit1g,
summit1g,10413, 2018.07,15697,21,summit1g,
summit1g,7586, 2018.08,10413,13,summit1g,
summit1g,14233, 2018.09,7586,13,summit1g,
summit1g,5829, 2018.10,14233,13,summit1g,
summit1g,30858, 2018.11,5829,5,summit1g,
summit1g,44893, 2019.00,30858,3,summit1g,
summit1g,41682, 2019.01,44893,6,summit1g,
summit1g,37848, 2019.02,41682,4,summit1g,
summit1g,32360, 2019.03,37848,3,summit1g,
summit1g,24616, 2019.04,32360,9,summit1g,
summit1g,15789, 2019.05,24616,13,summit1g,
summit1g,18506, 2019.06,15789,9,summit1g,
summit1g,20465, 2019.07,18506,11,summit1g,
summit1g,16177, 2019.08,20465,12,summit1g,
summit1g,19467, 2019.09,16177,7,summit1g,
summit1g,17118, 2019.10,19467,10,summit1g,
summit1g,20999, 2019.11,17118,9,summit1g,
summit1g,29939, 2020.00,20999,2,summit1g,
summit1g,33656, 2020.01,29939,2,summit1g,
nickmercs,0, 2017.02,0,106,nickmercs,
nickmercs,0, 2017.03,0,106,nickmercs,
nickmercs,0, 2017.04,0,104,nickmercs,
nickmercs,0, 2017.05,0,102,nickmercs,
nickmercs,0, 2017.06,0,101,nickmercs,
nickmercs,0, 2017.07,0,99,nickmercs,
nickmercs,0, 2017.08,0,99,nickmercs,
nickmercs,0, 2017.09,0,96,nickmercs,
nickmercs,0, 2017.10,0,94,nickmercs,
nickmercs,0, 2017.11,0,90,nickmercs,
nickmercs,0, 2018.00,0,89,nickmercs,
nickmercs,0, 2018.01,0,88,nickmercs,
nickmercs,0, 2018.02,0,87,nickmercs,
nickmercs,0, 2018.03,0,87,nickmercs,
nickmercs,0, 2018.04,0,86,nickmercs,
nickmercs,0, 2018.05,0,85,nickmercs,
nickmercs,0, 2018.06,0,83,nickmercs,
nickmercs,0, 2018.07,0,82,nickmercs,
nickmercs,0, 2018.08,0,82,nickmercs,
nickmercs,0, 2018.09,0,78,nickmercs,
nickmercs,0, 2018.10,0,78,nickmercs,
nickmercs,0, 2018.11,0,73,nickmercs,
nickmercs,0, 2019.00,0,70,nickmercs,
nickmercs,14519, 2019.01,0,20,nickmercs,
nickmercs,21180, 2019.02,14519,13,nickmercs,
nickmercs,19569, 2019.03,21180,11,nickmercs,
nickmercs,31706, 2019.04,19569,4,nickmercs,
nickmercs,31275, 2019.05,31706,3,nickmercs,
nickmercs,33100, 2019.06,31275,3,nickmercs,
nickmercs,31565, 2019.07,33100,3,nickmercs,
nickmercs,22827, 2019.08,31565,7,nickmercs,
nickmercs,29759, 2019.09,22827,2,nickmercs,
nickmercs,22331, 2019.10,29759,4,nickmercs,
nickmercs,28324, 2019.11,22331,3,nickmercs,
nickmercs,27767, 2020.00,28324,5,nickmercs,
nickmercs,31020, 2020.01,27767,3,nickmercs,
drdisrespect,0, 2017.02,0,98,drdisrespect,
drdisrespect,0, 2017.03,0,98,drdisrespect,
drdisrespect,0, 2017.04,0,96,drdisrespect,
drdisrespect,0, 2017.05,0,94,drdisrespect,
drdisrespect,0, 2017.06,0,93,drdisrespect,
drdisrespect,0, 2017.07,0,91,drdisrespect,
drdisrespect,0, 2017.08,0,91,drdisrespect,
drdisrespect,0, 2017.09,0,88,drdisrespect,
drdisrespect,0, 2017.10,0,86,drdisrespect,
drdisrespect,0, 2017.11,0,82,drdisrespect,
drdisrespect,0, 2018.00,0,81,drdisrespect,
drdisrespect,0, 2018.01,0,80,drdisrespect,
drdisrespect,0, 2018.02,0,79,drdisrespect,
drdisrespect,0, 2018.03,0,79,drdisrespect,
drdisrespect,0, 2018.04,0,78,drdisrespect,
drdisrespect,0, 2018.05,0,77,drdisrespect,
drdisrespect,0, 2018.06,0,75,drdisrespect,
drdisrespect,0, 2018.07,0,74,drdisrespect,
drdisrespect,0, 2018.08,0,74,drdisrespect,
drdisrespect,0, 2018.09,0,70,drdisrespect,
drdisrespect,0, 2018.10,0,70,drdisrespect,
drdisrespect,25816, 2018.11,0,9,drdisrespect,
drdisrespect,27881, 2019.00,25816,7,drdisrespect,
drdisrespect,47185, 2019.01,27881,4,drdisrespect,
drdisrespect,28301, 2019.02,47185,6,drdisrespect,
drdisrespect,26165, 2019.03,28301,6,drdisrespect,
drdisrespect,26880, 2019.04,26165,7,drdisrespect,
drdisrespect,9005, 2019.05,26880,23,drdisrespect,
drdisrespect,35767, 2019.06,9005,2,drdisrespect,
drdisrespect,33535, 2019.07,35767,1,drdisrespect,
drdisrespect,26575, 2019.08,33535,3,drdisrespect,
drdisrespect,32580, 2019.09,26575,1,drdisrespect,
drdisrespect,25860, 2019.10,32580,2,drdisrespect,
drdisrespect,31348, 2019.11,25860,2,drdisrespect,
drdisrespect,28948, 2020.00,31348,3,drdisrespect,
drdisrespect,27451, 2020.01,28948,4,drdisrespect,
castro_1021,4506, 2017.02,4506,16,castro_1021,
castro_1021,5553, 2017.03,4506,20,castro_1021,
castro_1021,6380, 2017.04,5553,13,castro_1021,
castro_1021,6450, 2017.05,6380,14,castro_1021,
