name,value,year,lastValue,rank,image,largeDate
ninja,0, 2014.04,0,194,ninja,
ninja,0, 2014.05,0,189,ninja,
ninja,0, 2014.06,0,185,ninja,
ninja,0, 2014.07,0,181,ninja,
ninja,0, 2014.08,0,172,ninja,
ninja,0, 2014.09,0,171,ninja,
ninja,0, 2014.10,0,166,ninja,
ninja,0, 2014.11,0,162,ninja,
ninja,0, 2015.00,0,158,ninja,
ninja,0, 2015.01,0,154,ninja,
ninja,0, 2015.02,0,154,ninja,
ninja,0, 2015.03,0,150,ninja,
ninja,0, 2015.04,0,148,ninja,
ninja,0, 2015.05,0,144,ninja,
ninja,0, 2015.06,0,142,ninja,
ninja,0, 2015.07,0,141,ninja,
ninja,0, 2015.08,0,139,ninja,
ninja,0, 2015.09,0,138,ninja,
ninja,0, 2015.10,0,136,ninja,
ninja,0, 2015.11,0,133,ninja,
ninja,0, 2016.00,0,133,ninja,
ninja,0, 2016.01,0,132,ninja,
ninja,0, 2016.02,0,131,ninja,
ninja,0, 2016.03,0,129,ninja,
ninja,0, 2016.04,0,128,ninja,
ninja,0, 2016.05,0,126,ninja,
ninja,0, 2016.06,0,125,ninja,
ninja,0, 2016.07,0,125,ninja,
ninja,0, 2016.08,0,124,ninja,
ninja,0, 2016.09,0,123,ninja,
ninja,0, 2016.10,0,123,ninja,
ninja,0, 2016.11,0,120,ninja,
ninja,0, 2017.00,0,119,ninja,
ninja,0, 2017.01,0,115,ninja,
ninja,0, 2017.02,0,112,ninja,
ninja,0, 2017.03,0,110,ninja,
ninja,0, 2017.04,0,107,ninja,
ninja,0, 2017.05,0,96,ninja,
ninja,0, 2017.06,0,95,ninja,
ninja,0, 2017.07,0,91,ninja,
ninja,0, 2017.08,0,91,ninja,
ninja,35016446, 2017.09,0,56,ninja,
ninja,37083266, 2017.10,35016446,54,ninja,
ninja,39687571, 2017.11,37083266,50,ninja,
ninja,43064859, 2018.00,39687571,48,ninja,
ninja,54513871, 2018.01,43064859,42,ninja,
ninja,79835821, 2018.02,54513871,28,ninja,
ninja,122195192, 2018.03,79835821,13,ninja,
ninja,161242394, 2018.04,122195192,10,ninja,
ninja,202196977, 2018.05,161242394,6,ninja,
ninja,245205337, 2018.06,202196977,3,ninja,
ninja,283834791, 2018.07,245205337,2,ninja,
ninja,306449162, 2018.08,283834791,1,ninja,
ninja,331864231, 2018.09,306449162,1,ninja,
ninja,363325527, 2018.10,331864231,1,ninja,
ninja,378533573, 2018.11,363325527,1,ninja,
ninja,398346820, 2019.00,378533573,1,ninja,
ninja,410907803, 2019.01,398346820,1,ninja,
ninja,424078454, 2019.02,410907803,1,ninja,
ninja,437222670, 2019.03,424078454,1,ninja,
ninja,450957659, 2019.04,437222670,1,ninja,
ninja,465236694, 2019.05,450957659,1,ninja,
ninja,474023751, 2019.06,465236694,1,ninja,
ninja,479165306, 2019.07,474023751,1,ninja,
ninja,479953038, 2019.08,479165306,1,ninja,
ninja,480209155, 2019.09,479953038,1,ninja,
ninja,480471067, 2019.10,480209155,1,ninja,
ninja,480634476, 2019.11,480471067,1,ninja,
ninja,480819185, 2020.00,480634476,1,ninja,
ninja,480964354, 2020.01,480819185,1,ninja,
ninja,481165905, 2020.02,480964354,1,ninja,
shroud,0, 2014.04,0,156,shroud,
shroud,0, 2014.05,0,151,shroud,
shroud,0, 2014.06,0,147,shroud,
shroud,0, 2014.07,0,143,shroud,
shroud,0, 2014.08,0,134,shroud,
shroud,0, 2014.09,0,133,shroud,
shroud,0, 2014.10,0,128,shroud,
shroud,0, 2014.11,0,124,shroud,
shroud,0, 2015.00,0,120,shroud,
shroud,12228052, 2015.01,0,63,shroud,
shroud,13950800, 2015.02,12228052,61,shroud,
shroud,14619874, 2015.03,13950800,59,shroud,
shroud,16310057, 2015.04,14619874,57,shroud,
shroud,18056941, 2015.05,16310057,56,shroud,
shroud,18494646, 2015.06,18056941,55,shroud,
shroud,18571401, 2015.07,18494646,56,shroud,
shroud,18953386, 2015.08,18571401,56,shroud,
shroud,19109488, 2015.09,18953386,56,shroud,
shroud,19306768, 2015.10,19109488,55,shroud,
shroud,19581486, 2015.11,19306768,53,shroud,
shroud,20107276, 2016.00,19581486,53,shroud,
shroud,20878191, 2016.01,20107276,53,shroud,
shroud,22094524, 2016.02,20878191,52,shroud,
shroud,23130085, 2016.03,22094524,51,shroud,
shroud,24270856, 2016.04,23130085,50,shroud,
shroud,24772204, 2016.05,24270856,50,shroud,
shroud,25232086, 2016.06,24772204,52,shroud,
shroud,25411825, 2016.07,25232086,52,shroud,
shroud,26287086, 2016.08,25411825,51,shroud,
shroud,26952140, 2016.09,26287086,51,shroud,
shroud,27496837, 2016.10,26952140,50,shroud,
shroud,29784252, 2016.11,27496837,48,shroud,
shroud,30987108, 2017.00,29784252,48,shroud,
shroud,32068202, 2017.01,30987108,46,shroud,
shroud,32678163, 2017.02,32068202,48,shroud,
shroud,34448250, 2017.03,32678163,48,shroud,
shroud,35406496, 2017.04,34448250,47,shroud,
shroud,36807918, 2017.05,35406496,47,shroud,
shroud,37183942, 2017.06,36807918,51,shroud,
shroud,43995792, 2017.07,37183942,42,shroud,
shroud,48090713, 2017.08,43995792,39,shroud,
shroud,54705459, 2017.09,48090713,38,shroud,
shroud,64588639, 2017.10,54705459,33,shroud,
shroud,76044043, 2017.11,64588639,24,shroud,
shroud,85355484, 2018.00,76044043,21,shroud,
shroud,98326454, 2018.01,85355484,18,shroud,
shroud,110266806, 2018.02,98326454,13,shroud,
shroud,125456424, 2018.03,110266806,12,shroud,
shroud,136333470, 2018.04,125456424,11,shroud,
shroud,151859650, 2018.05,136333470,11,shroud,
shroud,169953901, 2018.06,151859650,11,shroud,
shroud,187783573, 2018.07,169953901,11,shroud,
