name,value,year,lastValue,rank,image,largeDate
riotgames,472995957, 2014.04,472995957,1,riotgames,
riotgames,511631119, 2014.05,472995957,1,riotgames,
riotgames,530724635, 2014.06,511631119,1,riotgames,
riotgames,551169989, 2014.07,530724635,1,riotgames,
riotgames,570845750, 2014.08,551169989,1,riotgames,
riotgames,599125716, 2014.09,570845750,1,riotgames,
riotgames,610016203, 2014.10,599125716,1,riotgames,
riotgames,610277912, 2014.11,610016203,1,riotgames,
riotgames,610615916, 2015.00,610277912,1,riotgames,
riotgames,627885481, 2015.01,610615916,1,riotgames,
riotgames,652523316, 2015.02,627885481,1,riotgames,
riotgames,676245645, 2015.03,652523316,1,riotgames,
riotgames,691828974, 2015.04,676245645,1,riotgames,
riotgames,712465924, 2015.05,691828974,1,riotgames,
riotgames,728562492, 2015.06,712465924,1,riotgames,
riotgames,739126853, 2015.07,728562492,1,riotgames,
riotgames,751892891, 2015.08,739126853,1,riotgames,
riotgames,762023040, 2015.09,751892891,1,riotgames,
riotgames,777729877, 2015.10,762023040,1,riotgames,
riotgames,779445332, 2015.11,777729877,1,riotgames,
riotgames,781541015, 2016.00,779445332,1,riotgames,
riotgames,790495393, 2016.01,781541015,1,riotgames,
riotgames,806417544, 2016.02,790495393,1,riotgames,
riotgames,818824156, 2016.03,806417544,1,riotgames,
riotgames,837228030, 2016.04,818824156,1,riotgames,
riotgames,847683344, 2016.05,837228030,1,riotgames,
riotgames,848824863, 2016.06,847683344,1,riotgames,
riotgames,849173828, 2016.07,848824863,1,riotgames,
riotgames,851048793, 2016.08,849173828,1,riotgames,
riotgames,883423383, 2016.09,851048793,1,riotgames,
riotgames,883677987, 2016.10,883423383,1,riotgames,
riotgames,889609939, 2016.11,883677987,1,riotgames,
riotgames,889796019, 2017.00,889609939,1,riotgames,
riotgames,889948037, 2017.01,889796019,1,riotgames,
riotgames,890025611, 2017.02,889948037,1,riotgames,
riotgames,890201426, 2017.03,890025611,1,riotgames,
riotgames,894235106, 2017.04,890201426,1,riotgames,
riotgames,903449886, 2017.05,894235106,1,riotgames,
riotgames,903565976, 2017.06,903449886,1,riotgames,
riotgames,906831018, 2017.07,903565976,1,riotgames,
riotgames,906875615, 2017.08,906831018,1,riotgames,
riotgames,912649853, 2017.09,906875615,1,riotgames,
riotgames,931833605, 2017.10,912649853,1,riotgames,
riotgames,935197644, 2017.11,931833605,1,riotgames,
riotgames,938341072, 2018.00,935197644,1,riotgames,
riotgames,949535751, 2018.01,938341072,1,riotgames,
riotgames,963634055, 2018.02,949535751,1,riotgames,
riotgames,975784574, 2018.03,963634055,1,riotgames,
riotgames,985256846, 2018.04,975784574,1,riotgames,
riotgames,994077404, 2018.05,985256846,1,riotgames,
riotgames,1005403182, 2018.06,994077404,1,riotgames,
riotgames,1016361164, 2018.07,1005403182,1,riotgames,
riotgames,1025496175, 2018.08,1016361164,1,riotgames,
riotgames,1037128519, 2018.09,1025496175,1,riotgames,
riotgames,1070448532, 2018.10,1037128519,1,riotgames,
riotgames,1071299862, 2018.11,1070448532,1,riotgames,
riotgames,1075240969, 2019.00,1071299862,1,riotgames,
riotgames,1088314742, 2019.01,1075240969,1,riotgames,
riotgames,1101866226, 2019.02,1088314742,1,riotgames,
riotgames,1114370201, 2019.03,1101866226,1,riotgames,
riotgames,1128613308, 2019.04,1114370201,1,riotgames,
riotgames,1142948189, 2019.05,1128613308,1,riotgames,
riotgames,1155876646, 2019.06,1142948189,1,riotgames,
riotgames,1166092271, 2019.07,1155876646,1,riotgames,
riotgames,1176860563, 2019.08,1166092271,1,riotgames,
riotgames,1187335609, 2019.09,1176860563,1,riotgames,
riotgames,1206712871, 2019.10,1187335609,1,riotgames,
riotgames,1213937804, 2019.11,1206712871,1,riotgames,
riotgames,1216297772, 2020.00,1213937804,1,riotgames,
riotgames,1217037727, 2020.01,1216297772,1,riotgames,
riotgames,1219225009, 2020.02,1217037727,1,riotgames,
ninja,0, 2014.04,0,214,ninja,
ninja,0, 2014.05,0,209,ninja,
ninja,0, 2014.06,0,205,ninja,
ninja,0, 2014.07,0,201,ninja,
ninja,0, 2014.08,0,192,ninja,
ninja,0, 2014.09,0,190,ninja,
ninja,0, 2014.10,0,185,ninja,
ninja,0, 2014.11,0,181,ninja,
ninja,0, 2015.00,0,177,ninja,
ninja,0, 2015.01,0,173,ninja,
ninja,0, 2015.02,0,173,ninja,
ninja,0, 2015.03,0,169,ninja,
ninja,0, 2015.04,0,167,ninja,
ninja,0, 2015.05,0,163,ninja,
ninja,0, 2015.06,0,161,ninja,
ninja,0, 2015.07,0,160,ninja,
ninja,0, 2015.08,0,157,ninja,
ninja,0, 2015.09,0,156,ninja,
ninja,0, 2015.10,0,154,ninja,
ninja,0, 2015.11,0,151,ninja,
ninja,0, 2016.00,0,150,ninja,
ninja,0, 2016.01,0,148,ninja,
ninja,0, 2016.02,0,147,ninja,
ninja,0, 2016.03,0,145,ninja,
ninja,0, 2016.04,0,144,ninja,
ninja,0, 2016.05,0,142,ninja,
ninja,0, 2016.06,0,141,ninja,
ninja,0, 2016.07,0,141,ninja,
ninja,0, 2016.08,0,140,ninja,
ninja,0, 2016.09,0,139,ninja,
ninja,0, 2016.10,0,139,ninja,
ninja,0, 2016.11,0,136,ninja,
