name,value,year,lastValue,rank,image,largeDate
ninja,0, 2014.04,0,207,ninja,
ninja,0, 2014.05,0,202,ninja,
ninja,0, 2014.06,0,198,ninja,
ninja,0, 2014.07,0,194,ninja,
ninja,0, 2014.08,0,185,ninja,
ninja,0, 2014.09,0,183,ninja,
ninja,0, 2014.10,0,178,ninja,
ninja,0, 2014.11,0,174,ninja,
ninja,0, 2015.00,0,170,ninja,
ninja,0, 2015.01,0,166,ninja,
ninja,0, 2015.02,0,166,ninja,
ninja,0, 2015.03,0,162,ninja,
ninja,0, 2015.04,0,160,ninja,
ninja,0, 2015.05,0,156,ninja,
ninja,0, 2015.06,0,154,ninja,
ninja,0, 2015.07,0,153,ninja,
ninja,0, 2015.08,0,151,ninja,
ninja,0, 2015.09,0,150,ninja,
ninja,0, 2015.10,0,148,ninja,
ninja,0, 2015.11,0,145,ninja,
ninja,0, 2016.00,0,144,ninja,
ninja,0, 2016.01,0,142,ninja,
ninja,0, 2016.02,0,141,ninja,
ninja,0, 2016.03,0,139,ninja,
ninja,0, 2016.04,0,138,ninja,
ninja,0, 2016.05,0,136,ninja,
ninja,0, 2016.06,0,135,ninja,
ninja,0, 2016.07,0,135,ninja,
ninja,0, 2016.08,0,134,ninja,
ninja,0, 2016.09,0,133,ninja,
ninja,0, 2016.10,0,133,ninja,
ninja,0, 2016.11,0,130,ninja,
ninja,0, 2017.00,0,129,ninja,
ninja,0, 2017.01,0,125,ninja,
ninja,0, 2017.02,0,122,ninja,
ninja,0, 2017.03,0,120,ninja,
ninja,0, 2017.04,0,117,ninja,
ninja,0, 2017.05,0,106,ninja,
ninja,0, 2017.06,0,105,ninja,
ninja,0, 2017.07,0,101,ninja,
ninja,0, 2017.08,0,101,ninja,
ninja,35016446, 2017.09,0,66,ninja,
ninja,37083266, 2017.10,35016446,64,ninja,
ninja,39687571, 2017.11,37083266,60,ninja,
ninja,43064859, 2018.00,39687571,58,ninja,
ninja,54513871, 2018.01,43064859,51,ninja,
ninja,79835821, 2018.02,54513871,35,ninja,
ninja,122195192, 2018.03,79835821,20,ninja,
ninja,161242394, 2018.04,122195192,13,ninja,
ninja,202196977, 2018.05,161242394,7,ninja,
ninja,245205337, 2018.06,202196977,4,ninja,
ninja,283834791, 2018.07,245205337,2,ninja,
ninja,306449162, 2018.08,283834791,1,ninja,
ninja,331864231, 2018.09,306449162,1,ninja,
ninja,363325527, 2018.10,331864231,1,ninja,
ninja,378533573, 2018.11,363325527,1,ninja,
ninja,398346820, 2019.00,378533573,1,ninja,
ninja,410907803, 2019.01,398346820,1,ninja,
ninja,424078454, 2019.02,410907803,1,ninja,
ninja,437222670, 2019.03,424078454,1,ninja,
ninja,450957659, 2019.04,437222670,1,ninja,
ninja,465236694, 2019.05,450957659,1,ninja,
ninja,474023751, 2019.06,465236694,1,ninja,
ninja,479165306, 2019.07,474023751,1,ninja,
ninja,479953038, 2019.08,479165306,1,ninja,
ninja,480209155, 2019.09,479953038,1,ninja,
ninja,480471067, 2019.10,480209155,1,ninja,
ninja,480634476, 2019.11,480471067,1,ninja,
ninja,480819185, 2020.00,480634476,1,ninja,
ninja,480964354, 2020.01,480819185,1,ninja,
ninja,481165905, 2020.02,480964354,1,ninja,
shroud,0, 2014.04,0,163,shroud,
shroud,0, 2014.05,0,158,shroud,
shroud,0, 2014.06,0,154,shroud,
shroud,0, 2014.07,0,150,shroud,
shroud,0, 2014.08,0,141,shroud,
shroud,0, 2014.09,0,139,shroud,
shroud,0, 2014.10,0,134,shroud,
shroud,0, 2014.11,0,130,shroud,
shroud,0, 2015.00,0,126,shroud,
shroud,0, 2015.01,0,122,shroud,
shroud,0, 2015.02,0,122,shroud,
shroud,0, 2015.03,0,118,shroud,
shroud,0, 2015.04,0,116,shroud,
shroud,0, 2015.05,0,112,shroud,
shroud,0, 2015.06,0,110,shroud,
shroud,0, 2015.07,0,109,shroud,
shroud,0, 2015.08,0,107,shroud,
shroud,0, 2015.09,0,106,shroud,
shroud,0, 2015.10,0,104,shroud,
shroud,0, 2015.11,0,101,shroud,
shroud,20107276, 2016.00,0,56,shroud,
shroud,20878191, 2016.01,20107276,55,shroud,
shroud,22094524, 2016.02,20878191,54,shroud,
shroud,23130085, 2016.03,22094524,53,shroud,
shroud,24270856, 2016.04,23130085,53,shroud,
shroud,24772204, 2016.05,24270856,53,shroud,
shroud,25232086, 2016.06,24772204,55,shroud,
shroud,25411825, 2016.07,25232086,55,shroud,
shroud,26287086, 2016.08,25411825,54,shroud,
shroud,26952140, 2016.09,26287086,54,shroud,
shroud,27496837, 2016.10,26952140,53,shroud,
shroud,29784252, 2016.11,27496837,51,shroud,
shroud,30987108, 2017.00,29784252,51,shroud,
shroud,32068202, 2017.01,30987108,49,shroud,
shroud,32678163, 2017.02,32068202,51,shroud,
shroud,34448250, 2017.03,32678163,51,shroud,
shroud,35406496, 2017.04,34448250,50,shroud,
shroud,36807918, 2017.05,35406496,56,shroud,
shroud,37183942, 2017.06,36807918,60,shroud,
shroud,43995792, 2017.07,37183942,51,shroud,
shroud,48090713, 2017.08,43995792,48,shroud,
shroud,54705459, 2017.09,48090713,48,shroud,
shroud,64588639, 2017.10,54705459,43,shroud,
shroud,76044043, 2017.11,64588639,34,shroud,
shroud,85355484, 2018.00,76044043,30,shroud,
shroud,98326454, 2018.01,85355484,27,shroud,
shroud,110266806, 2018.02,98326454,19,shroud,
shroud,125456424, 2018.03,110266806,18,shroud,
shroud,136333470, 2018.04,125456424,17,shroud,
shroud,151859650, 2018.05,136333470,14,shroud,
shroud,169953901, 2018.06,151859650,18,shroud,
shroud,187783573, 2018.07,169953901,16,shroud,
shroud,197083151, 2018.08,187783573,16,shroud,
shroud,212877549, 2018.09,197083151,9,shroud,
shroud,231991058, 2018.10,212877549,8,shroud,
shroud,242160271, 2018.11,231991058,7,shroud,
shroud,256262101, 2019.00,242160271,6,shroud,
shroud,267791498, 2019.01,256262101,5,shroud,
shroud,287502554, 2019.02,267791498,3,shroud,
shroud,295782701, 2019.03,287502554,3,shroud,
shroud,304456589, 2019.04,295782701,3,shroud,
shroud,314190931, 2019.05,304456589,3,shroud,
shroud,325910291, 2019.06,314190931,2,shroud,
shroud,338551070, 2019.07,325910291,2,shroud,
shroud,352271693, 2019.08,338551070,2,shroud,
shroud,360900490, 2019.09,352271693,2,shroud,
shroud,365146712, 2019.10,360900490,2,shroud,
shroud,365355409, 2019.11,365146712,2,shroud,
shroud,365564873, 2020.00,365355409,2,shroud,
shroud,365730389, 2020.01,365564873,2,shroud,
shroud,365955391, 2020.02,365730389,2,shroud,
summit1g,19022501, 2014.04,19022501,50,summit1g,
summit1g,22708542, 2014.05,19022501,49,summit1g,
summit1g,24405594, 2014.06,22708542,48,summit1g,
summit1g,26445271, 2014.07,24405594,44,summit1g,
summit1g,29235054, 2014.08,26445271,40,summit1g,
summit1g,30646078, 2014.09,29235054,38,summit1g,
summit1g,32719402, 2014.10,30646078,38,summit1g,
summit1g,34636265, 2014.11,32719402,38,summit1g,
summit1g,36321848, 2015.00,34636265,36,summit1g,
summit1g,39359027, 2015.01,36321848,30,summit1g,
summit1g,42888107, 2015.02,39359027,27,summit1g,
summit1g,47858293, 2015.03,42888107,23,summit1g,
summit1g,51144251, 2015.04,47858293,21,summit1g,
summit1g,54423327, 2015.05,51144251,20,summit1g,
summit1g,56852754, 2015.06,54423327,21,summit1g,
summit1g,58489220, 2015.07,56852754,20,summit1g,
summit1g,59731890, 2015.08,58489220,21,summit1g,
summit1g,60351821, 2015.09,59731890,21,summit1g,
summit1g,61923690, 2015.10,60351821,21,summit1g,
summit1g,62646603, 2015.11,61923690,21,summit1g,
summit1g,63716144, 2016.00,62646603,20,summit1g,
summit1g,65035156, 2016.01,63716144,19,summit1g,
summit1g,67620001, 2016.02,65035156,19,summit1g,
summit1g,70850517, 2016.03,67620001,17,summit1g,
summit1g,75473769, 2016.04,70850517,18,summit1g,
summit1g,79229064, 2016.05,75473769,16,summit1g,
